Identifier,State,Year,Prohibited_Citation,NonresidentCont,OutOfStateCorpCont,OutOfStateCommCont,InNameOfAnother,GamblingCont,GamblingContExplain,RegIndCont,RegIndContExplain,GovtEmpSolicit,ContLegisSession,LegisSessionComments,CandLoan,CandLoanExplain,CorpExpendProhibit,LaborExpendProhib,OtherRestrictionsExplain,ExpForPrimaryCand
"AK2018","AK",2018,"am §§ 9 -- 11 ch 1 SLA 2002; am § 2 ch 3 SLA 2002; Alaska Stat. § 15.13.070, § 15.13.072; § 15.13.074","No","Yes","No","Yes","Yes","Only proceeds from raffles and lotteries (and not Bingo or pulltab games) may be used to aid candidates or groups.","No",,"No","Yes","A candidate or an individual who has filed with the commission the document necessary to permit that individual to incur election-related expenses under AS 15.13.100 for election or reelection to the state legislature may not solicit or accept a contribution while the legislature is convened in a regular or special legislative session unless the solicitation or acceptance occurs

	(1)  during the 90 days immediately preceding an election in which the candidate or individual is a candidate; and

	(2)  in a place other than the capital city.","No",,"No","No","15.13.072 (f)(h): Group/non-group entities, parties may not accept for than 10% of total contributions from individuals who are out of state residents.","No"
"AL1996","AL",1996,"(1st Ex. Sess., No. 88-873)  17-22A-18,( 1st Ex. Sess., No. 88-873)  17-22A-7,  (Acts 1988, No. 88-107) 10-2A-70.1","No","No","No","Yes","No",,"Yes"," Public utility that is regulated by the Public Service Commission can not make any policial contrubution.","No","Yes","Candidates for state offices and their principal campaign committees designated in the statement filed with the Secretary of State pursuant to Section 17-22A-4 on behalf of persons seeking or holding those offices, may not solicit or accept, or both, contributions during the period when the Legislature is convened in session. For the purposes of this section, the Legislature is considered convened in session at any time from the opening day of the special or regular session and continuing through the day of adjournment sine die for that session. This subsection (b) shall not apply within 120 days of any primary, run-off, or general election and shall not apply to the candidates or principal campaign committees participating in any special election called by the Governor.","No",,"No","No",,"No"
"AL1998","AL",1998,"(1st Ex. Sess., No. 88-873)  17-22A-18,( 1st Ex. Sess., No. 88-873)  17-22A-7,  (Acts 1988, No. 88-107) 10-2A-70.1","No","No","No","Yes","No",,"Yes"," Public utility that is regulated by the Public Service Commission can not make any policial contrubution.","No","Yes","Candidates for state offices and their principal campaign committees designated in the statement filed with the Secretary of State pursuant to Section 17-22A-4 on behalf of persons seeking or holding those offices, may not solicit or accept, or both, contributions during the period when the Legislature is convened in session. For the purposes of this section, the Legislature is considered convened in session at any time from the opening day of the special or regular session and continuing through the day of adjournment sine die for that session. This subsection (b) shall not apply within 120 days of any primary, run-off, or general election and shall not apply to the candidates or principal campaign committees participating in any special election called by the Governor.","No",,"No","No",,"No"
"AL2000","AL",2000,"(1st Ex. Sess., No. 88-873)  17-22A-18,( 1st Ex. Sess., No. 88-873)  17-22A-7,  (Acts 1988, No. 88-107) 10-2A-70.1","No","No","No","Yes","No",,"Yes"," Public utility that is regulated by the Public Service Commission can not make any policial contrubution.","No","Yes","Candidates for state offices and their principal campaign committees designated in the statement filed with the Secretary of State pursuant to Section 17-22A-4 on behalf of persons seeking or holding those offices, may not solicit or accept, or both, contributions during the period when the Legislature is convened in session. For the purposes of this section, the Legislature is considered convened in session at any time from the opening day of the special or regular session and continuing through the day of adjournment sine die for that session. This subsection (b) shall not apply within 120 days of any primary, run-off, or general election and shall not apply to the candidates or principal campaign committees participating in any special election called by the Governor.","No",,"No","No",,"No"
"AL2002","AL",2002,"(1st Ex. Sess., No. 88-873)  17-22A-18,( 1st Ex. Sess., No. 88-873)  17-22A-7,  (Acts 1988, No. 88-107) 10-2A-70.1","No","No","No","Yes","No",,"Yes"," Public utility that is regulated by the Public Service Commission can not make any policial contrubution.","No","Yes","Candidates for state offices and their principal campaign committees designated in the statement filed with the Secretary of State pursuant to Section 17-22A-4 on behalf of persons seeking or holding those offices, may not solicit or accept, or both, contributions during the period when the Legislature is convened in session. For the purposes of this section, the Legislature is considered convened in session at any time from the opening day of the special or regular session and continuing through the day of adjournment sine die for that session. This subsection (b) shall not apply within 120 days of any primary, run-off, or general election and shall not apply to the candidates or principal campaign committees participating in any special election called by the Governor.","No",,"No","No",,"No"
"AL2004","AL",2004,"(1st Ex. Sess., No. 88-873)  17-22A-18,( 1st Ex. Sess., No. 88-873)  17-22A-7,  (Acts 1988, No. 88-107) 10-2A-70.1","No","No","No","Yes","No",,"Yes"," Public utility that is regulated by the Public Service Commission can not make any policial contrubution.","No","Yes","Candidates for state offices and their principal campaign committees designated in the statement filed with the Secretary of State pursuant to Section 17-22A-4 on behalf of persons seeking or holding those offices, may not solicit or accept, or both, contributions during the period when the Legislature is convened in session. For the purposes of this section, the Legislature is considered convened in session at any time from the opening day of the special or regular session and continuing through the day of adjournment sine die for that session. This subsection (b) shall not apply within 120 days of any primary, run-off, or general election and shall not apply to the candidates or principal campaign committees participating in any special election called by the Governor.","No",,"No","No",,"No"
"AL2006","AL",2006,"(1st Ex. Sess., No. 88-873)  17-22A-18,( 1st Ex. Sess., No. 88-873)  17-22A-7,  (Acts 1988, No. 88-107) 10-2A-70.1","No","No","No","Yes","No",,"Yes"," Public utility that is regulated by the Public Service Commission can not make any policial contrubution.","No","Yes","Candidates for state offices and their principal campaign committees designated in the statement filed with the Secretary of State pursuant to Section 17-22A-4 on behalf of persons seeking or holding those offices, may not solicit or accept, or both, contributions during the period when the Legislature is convened in session. For the purposes of this section, the Legislature is considered convened in session at any time from the opening day of the special or regular session and continuing through the day of adjournment sine die for that session. This subsection (b) shall not apply within 120 days of any primary, run-off, or general election and shall not apply to the candidates or principal campaign committees participating in any special election called by the Governor.","No",,"No","No",,"No"
"AL2008","AL",2008,"(1st Ex. Sess., No. 88-873)  17-22A-18,( 1st Ex. Sess., No. 88-873)  17-22A-7,  (Acts 1988, No. 88-107) 10-2A-70.1","No","No","No","Yes","No",,"Yes"," Public utility that is regulated by the Public Service Commission can not make any policial contrubution.","No","Yes"," Candidates for state office and their principal campaign committees may not accept, solicit, or receive contributions during the period when the Legislature is convened in session. For purposes of this section, the Legislature is convened in session at any time from the opening day of the special or regular session and continued through the day of adjournment sine die for that session.","No",,"No","No",,"No"
"AL2010","AL",2010,"(1st Ex. Sess., No. 88-873)  17-22A-18,( 1st Ex. Sess., No. 88-873)  17-22A-7,  (Acts 1988, No. 88-107) 10-2A-70.1","No","No","No","Yes","No",,"Yes"," Public utility that is regulated by the Public Service Commission can not make any policial contrubution.","No","Yes"," Candidates for state office and their principal campaign committees may not accept, solicit, or receive contributions during the period when the Legislature is convened in session. For purposes of this section, the Legislature is convened in session at any time from the opening day of the special or regular session and continued through the day of adjournment sine die for that session.","No",,"No","No",,"No"
"AL2012","AL",2012,"(No. 81-543) 10A-21-1.03,  (1st Ex. Sess., No. 88-873) 17-5-15","No","No","No","Yes","No",,"Yes"," Public utility that is regulated by the Public Service Commission can not make any policial contrubution.","No","Yes"," Candidates for state office and their principal campaign committees may not accept, solicit, or receive contributions during the period when the Legislature is convened in session. For purposes of this section, the Legislature is convened in session at any time from the opening day of the special or regular session and continued through the day of adjournment sine die for that session.","No",,"No","No",,"No"
"AL2014","AL",2014,"(1st Ex. Sess., No. 88-873) 17-5-15","No","No","No","Yes","No",,"Yes"," Public utility that is regulated by the Public Service Commission can not make any policial contrubution.","No","Yes"," Candidates for state office and their principal campaign committees may not accept, solicit, or receive contributions during the period when the Legislature is convened in session. For purposes of this section, the Legislature is convened in session at any time from the opening day of the special or regular session and continued through the day of adjournment sine die for that session.","No",,"No","No",,"No"
"AL2016","AL",2016,"(No. 81-543) 10A-21-1.03,  (1st Ex. Sess., No. 88-873) 17-5-15","No","No","No","Yes","No",,"Yes"," Public utility that is regulated by the Public Service Commission can not make any policial contrubution.","No","Yes"," Candidates for state office and their principal campaign committees may not accept, solicit, or receive contributions during the period when the Legislature is convened in session. For purposes of this section, the Legislature is convened in session at any time from the opening day of the special or regular session and continued through the day of adjournment sine die for that session.","No",,"No","No",,"No"
"AL2018","AL",2018,"Code of Alabama 1975 §10A-21-1.03","No","No","No","Yes","No",,"Yes","17-5-14 c) A utility regulated by the public service commission may not make a contribution to any candidate for the public service commission, but shall otherwise be entitled to take any action permitted corporations under this section.","No","Yes","17.5.7 (2) For a period of 12 months before an election in which the person intends to be a candidate. Provided, however, candidates for legislative and statewide office and their principal campaign committees may not accept, solicit, or receive contributions during the period when the Legislature is convened in session. For purposes of this section, the Legislature is convened in session at any time from the opening day of the special or regular session and continued through the day of adjournment sine die for that session.","No",,"No","No","NONE","No"
"AR1996","AR",1996,"Arkansas Code Annotated 7-6-203;205","No","No","No","Yes","No",,"No",,"No","Yes","Governor, lieutenant governor, secretary of state, state treasurer, auditor of state, attorney general, commisioner of state lands, or a member of the general assembly may not accept a contribution during the period beginning 30 days before and ending 30 days after any regular session of the general assembly, or during any special or extended session of the general assembly.","No",,"No","No",,"No"
"AR1998","AR",1998,"Arkansas Code Annotated 7-6-203;205","No","No","No","Yes","No",,"Yes","Limited to $1,000 per candidate per election for constitutional offices, supreme court, and court of appeals. Limited to $100 per candidate per election for all other offices","Yes","Yes","Governor, lieutenant governor, secretary of state, state treasurer, auditor of state, attorney general, commisioner of state lands, or a member of the general assembly may not accept a contribution during the period beginning 30 days before and ending 30 days after any regular session of the general assembly, or during any special or extended session of the general assembly.","No",,"No","No","A judge of the municipal, circuit, chancery, or supreme courts may not make any solicitation on behalf of any candidate for office at any election, other than the judge's own campaign.","No"
"AR2000","AR",2000,"Arkansas Code Annotated 7-6-203;205","No","No","No","Yes","No",,"Yes","Limited to $1,000 per candidate per election for constitutional offices, supreme court, and court of appeals. Limited to $100 per candidate per election for all other offices","Yes","Yes","Governor, lieutenant governor, secretary of state, state treasurer, auditor of state, attorney general, commisioner of state lands, or a member of the general assembly may not accept a contribution during the period beginning 30 days before and ending 30 days after any regular session of the general assembly, or during any special or extended session of the general assembly.","No",,"No","No","A judge of the municipal, circuit, chancery, or supreme courts may not make any solicitation on behalf of any candidate for office at any election, other than the judge's own campaign.","No"
"AR2002","AR",2002,"Arkansas Code Annotated 7-6-203;205","No","No","No","Yes","No",,"Yes","Limited to $1,000 per candidate per election for constitutional offices, supreme court, and court of appeals. Limited to $100 per candidate per election for all other offices","Yes","No",,"No",,"No","No","A judge of the municipal, circuit, chancery, or supreme courts may not make any solicitation on behalf of any candidate for office at any election, other than the judge's own campaign.","No"
"AR2004","AR",2004,"Arkansas Code Annotated 7-6-203;205","No","No","No","Yes","No",,"Yes","Limited to $1,000 per candidate per election for constitutional offices, supreme court, and court of appeals. Limited to $100 per candidate per election for all other offices","Yes","No",,"No",,"No","No","A judge of the municipal, circuit, chancery, or supreme courts may not make any solicitation on behalf of any candidate for office at any election, other than the judge's own campaign.","No"
"AR2006","AR",2006,"Arkansas Code Annotated 7-6-203;205","No","No","No","Yes","No",,"No",,"Yes","No",,"No",,"No","No","A judge of the municipal, circuit, chancery, or supreme courts may not make any solicitation on behalf of any candidate for office at any election, other than the judge's own campaign.","No"
"AR2008","AR",2008,"Arkansas Code Annotated 7-6-203;205","No","No","No","Yes","No",,"No",,"Yes","No",,"No",,"No","No","A judge of the municipal, circuit, chancery, or supreme courts may not make any solicitation on behalf of any candidate for office at any election, other than the judge's own campaign.","No"
"AR2010","AR",2010,"Arkansas Code Annotated 7-6-203;205","No","No","No","Yes","No",,"No",,"Yes","No",,"No",,"No","No","A judge of the municipal, circuit, chancery, or supreme courts may not make any solicitation on behalf of any candidate for office at any election, other than the judge's own campaign.","No"
"AR2012","AR",2012,"Arkansas Code Annotated 7-6-203;205","No","No","No","Yes","No",,"No",,"Yes","No",,"No",,"No","No","A judge of the municipal, circuit, chancery, or supreme courts may not make any solicitation on behalf of any candidate for office at any election, other than the judge's own campaign.","No"
"AR2014","AR",2014,"Arkansas Code Annotated 7-6-203;205","No","No","No","Yes","No",,"No",,"Yes","No",,"No",,"No","No","A judge of the municipal, circuit, chancery, or supreme courts may not make any solicitation on behalf of any candidate for office at any election, other than the judge's own campaign.","No"
"AR2016","AR",2016,"Arkansas Code Annotated 7-6-203;205","No","No","No","Yes","No",,"No",,"Yes","No",,"No",,"No","No","A judge of the municipal, circuit, chancery, or supreme courts may not make any solicitation on behalf of any candidate for office at any election, other than the judge's own campaign.","No"
"AR2018","AR",2018,"Arkansas Code Annotated 7-6-203;205","No","No","No","Yes","No",,"No",,"Yes","No",,"No",,"No","No","It shall be unlawful for any judge of the district or circuit courts and any Justice of the Supreme Court or Judge of the Court of Appeals to participate in the campaign of any candidate for office at any election, other than his or her own","No"
"AZ1996","AZ",1996,"ARS §§ 16-904, 16-907, 16-919","No","Yes","No","Yes","No",,"No",,"No","Yes","A principal, public body, lobbyist, designated public lobbyist or authorized public lobbyist shall not make, solicit or promise a campaign contribution for: (1.)  A member of the legislature when the legislature is in regular session., (2) The governor when the legislature is in regular session or when regular session legislation is pending executive approval or veto.","No",,"Yes","Yes","While labor unions and corporations generally may not make political contributions from their treasuries, contributions in support of ballot measures are not considered political contributions for the purposes of that prohibition. ARS § 16-920.","No"
"AZ1998","AZ",1998,"ARS §§ 16-904, 16-907, 16-919","No","Yes","No","Yes","No",,"No",,"No","Yes","A principal, public body, lobbyist, designated public lobbyist or authorized public lobbyist shall not make, solicit or promise a campaign contribution for: (1.)  A member of the legislature when the legislature is in regular session., (2) The governor when the legislature is in regular session or when regular session legislation is pending executive approval or veto.","No",,"Yes","Yes","While labor unions and corporations generally may not make political contributions from their treasuries, contributions in support of ballot measures are not considered political contributions for the purposes of that prohibition. ARS § 16-920.","No"
"AZ2000","AZ",2000,"ARS §§ 16-904, 16-907, 16-919","No","Yes","No","Yes","No",,"No",,"No","Yes","A principal, public body, lobbyist, designated public lobbyist or authorized public lobbyist shall not make, solicit or promise a campaign contribution for: (1.)  A member of the legislature when the legislature is in regular session., (2) The governor when the legislature is in regular session or when regular session legislation is pending executive approval or veto.","No",,"Yes","Yes","While labor unions and corporations generally may not make political contributions from their treasuries, contributions in support of ballot measures are not considered political contributions for the purposes of that prohibition. ARS § 16-920.","No"
"AZ2002","AZ",2002,"ARS §§ 16-904, 16-907, 16-919","No","Yes","No","Yes","No",,"No",,"No","Yes","A principal, public body, lobbyist, designated public lobbyist or authorized public lobbyist shall not make, solicit or promise a campaign contribution for: (1.)  A member of the legislature when the legislature is in regular session., (2) The governor when the legislature is in regular session or when regular session legislation is pending executive approval or veto.","No",,"Yes","Yes","While labor unions and corporations generally may not make political contributions from their treasuries, contributions in support of ballot measures are not considered political contributions for the purposes of that prohibition. ARS § 16-920.","No"
"AZ2004","AZ",2004,"ARS §§ 16-904, 16-907, 16-919","No","Yes","No","Yes","No",,"No",,"No","Yes","A principal, public body, lobbyist, designated public lobbyist or authorized public lobbyist shall not make, solicit or promise a campaign contribution for: (1.)  A member of the legislature when the legislature is in regular session., (2) The governor when the legislature is in regular session or when regular session legislation is pending executive approval or veto.","No",,"Yes","Yes","While labor unions and corporations generally may not make political contributions from their treasuries, contributions in support of ballot measures are not considered political contributions for the purposes of that prohibition. ARS § 16-920.","No"
"AZ2006","AZ",2006,"ARS §§ 16-904, 16-907, 16-919","No","Yes","No","Yes","No",,"No",,"No","Yes","A principal, public body, lobbyist, designated public lobbyist or authorized public lobbyist shall not make, solicit or promise a campaign contribution for: (1.)  A member of the legislature when the legislature is in regular session., (2) The governor when the legislature is in regular session or when regular session legislation is pending executive approval or veto.","No",,"Yes","Yes","While labor unions and corporations generally may not make political contributions from their treasuries, contributions in support of ballot measures are not considered political contributions for the purposes of that prohibition. ARS § 16-920.","No"
"AZ2008","AZ",2008,"ARS §§ 16-904, 16-907, 16-919","No","Yes","No","Yes","No",,"No",,"No","Yes","A principal, public body, lobbyist, designated public lobbyist or authorized public lobbyist shall not make, solicit or promise a campaign contribution for: (1.)  A member of the legislature when the legislature is in regular session., (2) The governor when the legislature is in regular session or when regular session legislation is pending executive approval or veto.","No",,"Yes","Yes","While labor unions and corporations generally may not make political contributions from their treasuries, contributions in support of ballot measures are not considered political contributions for the purposes of that prohibition. ARS § 16-920.","No"
"AZ2010","AZ",2010,"ARS §§ 16-904, 16-907, 16-919","No","Yes","No","Yes","No",,"No",,"No","Yes","A principal, public body, lobbyist, designated public lobbyist or authorized public lobbyist shall not make, solicit or promise a campaign contribution for: (1.)  A member of the legislature when the legislature is in regular session., (2) The governor when the legislature is in regular session or when regular session legislation is pending executive approval or veto.","No",,"No","No","While labor unions and corporations generally may not make political contributions from their treasuries, contributions in support of ballot measures are not considered political contributions for the purposes of that prohibition. ARS § 16-920.","No"
"AZ2012","AZ",2012,"ARS §§ 16-904, 16-907, 16-919","No","Yes","No","Yes","No",,"No",,"No","Yes","A principal, public body, lobbyist, designated public lobbyist or authorized public lobbyist shall not make, solicit or promise a campaign contribution for: (1.)  A member of the legislature when the legislature is in regular session., (2) The governor when the legislature is in regular session or when regular session legislation is pending executive approval or veto.","No",,"No","No","While labor unions and corporations generally may not make political contributions from their treasuries, contributions in support of ballot measures are not considered political contributions for the purposes of that prohibition. ARS § 16-920.","No"
"AZ2014","AZ",2014,"ARS §§ 16-904, 16-907, 16-919","No","Yes","No","Yes","No",,"No",,"No","Yes","A principal, public body, lobbyist, designated public lobbyist or authorized public lobbyist shall not make, solicit or promise a campaign contribution for: (1.)  A member of the legislature when the legislature is in regular session., (2) The governor when the legislature is in regular session or when regular session legislation is pending executive approval or veto.","No",,"No","No","While labor unions and corporations generally may not make political contributions from their treasuries, contributions in support of ballot measures are not considered political contributions for the purposes of that prohibition. ARS § 16-920.","No"
"AZ2016","AZ",2016,"ARS §§ 16-904, 16-907, 16-919","No","Yes","No","Yes","No",,"No",,"No","Yes","These restrictions apply only to lobbyist and contributions","No",,"No","No","While labor unions and corporations generally may not make political contributions from their treasuries, contributions in support of ballot measures are not considered political contributions for the purposes of that prohibition. ARS § 16-920.","No"
"AZ2018","AZ",2018,"ARS §§ 16, Chapter 6, Article 1.2","No","Yes","No","No","No",,"No",,"No","Yes","These restrictions apply only to lobbyist and contributions","No",,"No","No","NA","No"
"CA1996","CA",1996,,"No","No","No","No","No",,"Yes","Agency officials responsible for permit or other proceedings cannot accept contributions from persons involved with those proceedings while they are ongoing or up to three months after.","No","No",,"No",,"No","No",,"No"
"CA1998","CA",1998,"CGC § 85320; Stats 1997 ch 67 § 1","No","No","No","No","No",,"Yes","Agency officials responsible for permit or other proceedings cannot accept contributions from persons involved with those proceedings while they are ongoing or up to three months after.","No","No",,"No",,"No","No",,"No"
"CA2000","CA",2000,"CGC § 85320; Stats 1997 ch 67 § 1","No","No","No","No","No",,"Yes","Agency officials responsible for permit or other proceedings cannot accept contributions from persons involved with those proceedings while they are ongoing or up to three months after.","No","No",,"No",,"No","No",,"No"
"CA2002","CA",2002,"CGC § 85320; Stats 1997 ch 67 § 1","No","No","No","No","No",,"Yes","Agency officials responsible for permit or other proceedings cannot accept contributions from persons involved with those proceedings while they are ongoing or up to three months after.","No","No",,"No",,"No","No",,"No"
"CA2004","CA",2004,"CGC § 85320; Stats 1997 ch 67 § 1","No","No","No","No","No",,"Yes","Agency officials responsible for permit or other proceedings cannot accept contributions from persons involved with those proceedings while they are ongoing or up to three months after.","No","No",,"No",,"No","No",,"No"
"CA2006","CA",2006,"CGC § 85320; Stats 1997 ch 67 § 1","No","No","No","No","No",,"Yes","Agency officials responsible for permit or other proceedings cannot accept contributions from persons involved with those proceedings while they are ongoing or up to three months after.","No","No",,"No",,"No","No",,"No"
"CA2008","CA",2008,"CGC § 85320; Stats 1997 ch 67 § 1","No","No","No","No","No",,"Yes","Agency officials responsible for permit or other proceedings cannot accept contributions from persons involved with those proceedings while they are ongoing or up to three months after.","No","No",,"No",,"No","No",,"No"
