Identifier,State,Year,Disclosure_Citation,CandFileReceipts,CandFileExpend,CandFileExemption,CandFileExemption_Amount,CandDonorExemption,CandDonorExplain,CandDonorAddress,CandDonorOccupation,CandDonorEmployer,CandExpendWho,CandExpendAddress,CandExpendPurpose,Cand_PreElection_Regular,CandFile_Electronic,CandFile_Electronic_Exemption,CandFile_Electronic_Exemption_Amount,CandFile_BundlerEarmarked,CandFile_BundlerEarmarked_Explained,Cand_SpecialReport,Cand_SpecialReport_Explained,PartyFileReceipts,PartyFileExpend,PartyFileExemption,PartyFileExemption_Amount,PartyDonorExemption,PartyDonorExplain,PartyDonorAddress,PartyDonorOccupation,PartyDonorEmployer,PartyExpendWho,PartyExpendAddress,PartyExpendPurpose,Party_PreElection_Regular,PartyFile_Electronic,PartyFile_Electronic_Exemption,PartyFile_Electronic_Exemption_Amount,PartyFile_BundlerEarmarked,PartyFile_BundlerEarmarked_Explained,PACFileReceipts,PACFileExpend,PACFileExemption,PACFileExemption_Amount,PACDonorExemption,PACDonorExplain,PACDonorAddress,PACDonorOccupation,PACDonorEmployer,PACExpendWho,PACExpendAddress,PACExpendPurpose,PAC_PreElection_Regular,PAC_PreElection_Available,PACFile_Electronic,PACFile_Electronic_Exemption,PACFile_Electronic_Exemption_Amount,PACFile_BundlerEarmarked,PACFile_BundlerEarmarked_Explained,BallotPropFile_Receipts,BallotPropFile_Expend,BallotProp_PolComm,BallotPropFileExemption,BallotPropFileExemption_Amount,BallotDonorExemption,BallotDonorExplain,BallotDonorAddress,BallotDonorOccupation,BallotDonorEmployer,BallotExpendWho,BallotExpendAddress,BallotExpendPurpose,Ballot_PreElection_Regular,Ballot_PreElection_Available,BallotFile_Electronic,BallotFile_Electronic_Exemption,BallotFile_Electronic_Exemption_A,BallotFile_BundlerEarmarked,BallotFile_BundlerEarmarked_Explained
"KS1996","KS",1996,"L. 1990, ch. 122, § 4; L. 1994, ch. 144, § 2; K.S.A.§§ 25-4145, 25-4148","Yes","Yes","Yes","501","51","Occupation disclosure threshold is $151","Yes","Yes","No","Yes","Yes","Yes","Eight days before primary election; six days before general election.","No",,,"No",,"No",,"Yes","Yes","Yes","501","51","Occupation disclosure threshold is 151","Yes","Yes","No","Yes","Yes","Yes","Eight days before primary election; six days before general election.","No",,,"No",,"Yes","Yes","Yes","501","51","Occupation disclosure threshold is 151.","Yes","Yes","No","Yes","Yes","Yes","Eight days before primary election; six days before general election.","na","No",,,"No",,"Yes","Yes","No","Yes","501","51","Occupation disclosure threshold is 151.","Yes","Yes","No","Yes","Yes","Yes","Eight days before primary election; six days before general election.","na","No",,,"No",
"KS1998","KS",1998,"L. 1997, ch. 12, § 1; L. 1998, ch. 117, § 8; L. 1998, ch. 117, § 5; K.S.A.§§ 25-4145, 25-4148","Yes","Yes","Yes","501","51","Occupation disclosure threshold is $151","Yes","Yes","No","Yes","Yes","Yes","Eight days before primary election; six days before general election.","No",,,"No",,"No",,"Yes","Yes","Yes","501","51","Occupation disclosure threshold is 151","Yes","Yes","No","Yes","Yes","Yes","Eight days before primary election; six days before general election.","No",,,"No",,"Yes","Yes","Yes","501","51","Occupation disclosure threshold is 151.","Yes","Yes","No","Yes","Yes","Yes","Eight days before primary election; six days before general election.",,"No",,,"No",,"Yes","Yes","No","Yes","501","51","Occupation disclosure threshold is 151.","Yes","Yes","No","Yes","Yes","Yes","Eight days before primary election; six days before general election.",,"No",,,"No",
"KS2000","KS",2000,"L. 1997, ch. 12, § 1; L. 1998, ch. 117, § 8; L. 1998, ch. 117, § 5; K.S.A.§§ 25-4145, 25-4148","Yes","Yes","Yes","501","51","Occupation disclosure threshold is $151","Yes","Yes","No","Yes","Yes","Yes","Eight days before primary election; six days before general election.","No",,,"No",,"No",,"Yes","Yes","Yes","501","51","Occupation disclosure threshold is 151","Yes","Yes","No","Yes","Yes","Yes","Eight days before primary election; six days before general election.","No",,,"No",,"Yes","Yes","Yes","501","51","Occupation disclosure threshold is 151.","Yes","Yes","No","Yes","Yes","Yes","Eight days before primary election; six days before general election.",,"No",,,"No",,"Yes","Yes","No","Yes","501","51","Occupation disclosure threshold is 151.","Yes","Yes","No","Yes","Yes","Yes","Eight days before primary election; six days before general election.",,"No",,,"No",
"KS2002","KS",2002,"L. 1997, ch. 12, § 1; L. 1998, ch. 117, § 8; L. 1998, ch. 117, § 5; K.S.A.§§ 25-4145, 25-4148","Yes","Yes","Yes","501","51","Occupation disclosure threshold is $151","Yes","Yes","No","Yes","Yes","Yes","Eight days before primary election; six days before general election.","No",,,"No",,"No",,"Yes","Yes","Yes","501","51","Occupation disclosure threshold is 151","Yes","Yes","No","Yes","Yes","Yes","Eight days before primary election; six days before general election.","No",,,"No",,"Yes","Yes","Yes","501","51","Occupation disclosure threshold is 151.","Yes","Yes","No","Yes","Yes","Yes","Eight days before primary election; six days before general election.",,"No",,,"No",,"Yes","Yes","No","Yes","501","51","Occupation disclosure threshold is 151.","Yes","Yes","No","Yes","Yes","Yes","Eight days before primary election; six days before general election.",,"No",,,"No",
"KS2004","KS",2004,"L. 1997, ch. 12, § 1; L. 1998, ch. 117, § 8; L. 1998, ch. 117, § 5; K.S.A.§§ 25-4145, 25-4148","Yes","Yes","Yes","501","51","Occupation disclosure threshold is $151","Yes","Yes","No","Yes","Yes","Yes","Eight days before primary election; six days before general election.","No",,,"No",,"No",,"Yes","Yes","Yes","501","51","Occupation disclosure threshold is 151","Yes","Yes","No","Yes","Yes","Yes","Eight days before primary election; six days before general election.","No",,,"No",,"Yes","Yes","Yes","501","51","Occupation disclosure threshold is 151.","Yes","Yes","No","Yes","Yes","Yes","Eight days before primary election; six days before general election.",,"No",,,"No",,"Yes","Yes","No","Yes","501","51","Occupation disclosure threshold is 151.","Yes","Yes","No","Yes","Yes","Yes","Eight days before primary election; six days before general election.",,"No",,,"No",
"CA2008","CA",2008,"CGC §§ 84200, 84200.5, 84200.7, 84203, 84203.3, 84203.5, 84204, 84206, 84211, 84305, 82036, 85700, 85500, 84503, 84506, 84605, 85309, 84506.5; Stats. 1994 ch. 1129 § 1; Stats 1994 ch. 923 § 105; Stats. 1993 ch. 391 § 1; Stats. 1993 ch. 1140 § 1; Stats. 1980 ch. 289 § 5; Stats. 1992 ch. 89 § 2; Stats. 1993 ch. 769 § 3; Stats. 1992 ch. 89 § 3; Stats. 1985 ch. 1456 § 16; Stats. 1989 ch. 764 § 1; Stats. 1995 ch. 77; Stats. 1999 ch. 433 § 5; Prop. 34 (2000); Stats. 2007 ch. 495 § 2","Yes","Yes","Yes","1000","100",,"Yes","Yes","Yes","Yes","Yes","Yes","12","Yes","Yes","50000","No",,"Yes","All contributions of $1,000 or more made within 90 days of the election must be reported within 24-hours to the Secretary of State","Yes","Yes","Yes","1000","100",,"Yes","Yes","Yes","Yes","Yes","Yes","12","Yes","Yes","50000","No",,"Yes","Yes","Yes","1000","100",,"Yes","Yes","Yes","Yes","Yes","Yes","12",,"Yes","Yes","50000","No",,"Yes","Yes","Yes","Yes","1000","100",,"Yes","Yes","Yes","Yes","Yes","Yes","12",,"Yes","Yes","50000","No",
"CA2010","CA",2010,"CGC §§ 84200, 84200.5, 84200.7, 84203, 84203.3, 84203.5, 84204, 84206, 84211, 84305, 82036, 85700, 85500, 84503, 84506, 84605, 85309, 84506.5; Stats. 1994 ch. 1129 § 1; Stats 1994 ch. 923 § 105; Stats. 1993 ch. 391 § 1; Stats. 1993 ch. 1140 § 1; Stats. 1980 ch. 289 § 5; Stats. 1992 ch. 89 § 2; Stats. 1993 ch. 769 § 3; Stats. 1992 ch. 89 § 3; Stats. 1985 ch. 1456 § 16; Stats. 1989 ch. 764 § 1; Stats. 1995 ch. 77; Stats. 1999 ch. 433 § 5; Prop. 34 (2000); Stats. 2007 ch. 495 § 2","Yes","Yes","Yes","1000","100",,"Yes","Yes","Yes","Yes","Yes","Yes","12","Yes","Yes","50000","No",,"Yes","All contributions of $1,000 or more made within 90 days of the election must be reported within 24-hours to the Secretary of State","Yes","Yes","Yes","1000","100",,"Yes","Yes","Yes","Yes","Yes","Yes","12","Yes","Yes","50000","No",,"Yes","Yes","Yes","1000","100",,"Yes","Yes","Yes","Yes","Yes","Yes","12",,"Yes","Yes","50000","No",,"Yes","Yes","Yes","Yes","1000","100",,"Yes","Yes","Yes","Yes","Yes","Yes","12",,"Yes","Yes","50000","No",
"CA2012","CA",2012,"CGC §§ 84200, 84200.5, 84200.7, 84203, 84203.3, 84203.5, 84204, 84206, 84211, 84305, 82036, 85700, 85500, 84503, 84506, 84605, 85309, 84506.5; Stats. 1994 ch. 1129 § 1; Stats 1994 ch. 923 § 105; Stats. 1993 ch. 391 § 1; Stats. 1993 ch. 1140 § 1; Stats. 1980 ch. 289 § 5; Stats. 1992 ch. 89 § 2; Stats. 1993 ch. 769 § 3; Stats. 1992 ch. 89 § 3; Stats. 1985 ch. 1456 § 16; Stats. 1989 ch. 764 § 1; Stats. 1995 ch. 77; Stats. 1999 ch. 433 § 5; Prop. 34 (2000); Stats. 2007 ch. 495 § 2; Stats. 2010 ch. 18 § 6","Yes","Yes","Yes","1000","100",,"Yes","Yes","Yes","Yes","Yes","Yes","12","Yes","Yes","25000","No",,"Yes","All contributions of $1,000 or more made within 90 days of the election must be reported within 24-hours to the Secretary of State","Yes","Yes","Yes","1000","100",,"Yes","Yes","Yes","Yes","Yes","Yes","12","Yes","Yes","25000","No",,"Yes","Yes","Yes","1000","100",,"Yes","Yes","Yes","Yes","Yes","Yes","12",,"Yes","Yes","25000","No",,"Yes","Yes","Yes","Yes","1000","100",,"Yes","Yes","Yes","Yes","Yes","Yes","12",,"Yes","Yes","50000","No",
"CA2014","CA",2014,"CGC §§ 84200, 84200.5, 84200.7, 84203, 84203.3, 84203.5, 84204, 84206, 84211, 84305, 82036, 85700, 85500, 84503, 84506, 84605, 85309, 84506.5; Stats. 1994 ch. 1129 § 1; Stats 1994 ch. 923 § 105; Stats. 1993 ch. 391 § 1; Stats. 1993 ch. 1140 § 1; Stats. 1980 ch. 289 § 5; Stats. 1992 ch. 89 § 2; Stats. 1993 ch. 769 § 3; Stats. 1992 ch. 89 § 3; Stats. 1985 ch. 1456 § 16; Stats. 1989 ch. 764 § 1; Stats. 1995 ch. 77; Stats. 1999 ch. 433 § 5; Prop. 34 (2000); Stats. 2007 ch. 495 § 2; Stats. 2010 ch. 18 § 6","Yes","Yes","Yes","1000","100",,"Yes","Yes","Yes","Yes","Yes","Yes","12","Yes","Yes","25000","No",,"Yes","All contributions of $1,000 or more made within 90 days of the election must be reported within 24-hours to the Secretary of State","Yes","Yes","Yes","1000","100",,"Yes","Yes","Yes","Yes","Yes","Yes","12","Yes","Yes","25000","No",,"Yes","Yes","Yes","1000","100",,"Yes","Yes","Yes","Yes","Yes","Yes","12",,"Yes","Yes","25000","No",,"Yes","Yes","Yes","Yes","1000","100",,"Yes","Yes","Yes","Yes","Yes","Yes","12",,"Yes","Yes","50000","No",
"CA2016","CA",2016,"CGC §§ 84200, 84200.5, 84200.7, 84203, 84203.3, 84203.5, 84204, 84206, 84211, 84305, 82036, 85700, 85500, 84503, 84506, 84605, 85309, 84506.5; Stats. 1994 ch. 1129 § 1; Stats 1994 ch. 923 § 105; Stats. 1993 ch. 391 § 1; Stats. 1993 ch. 1140 § 1; Stats. 1980 ch. 289 § 5; Stats. 1992 ch. 89 § 2; Stats. 1993 ch. 769 § 3; Stats. 1992 ch. 89 § 3; Stats. 1985 ch. 1456 § 16; Stats. 1989 ch. 764 § 1; Stats. 1995 ch. 77; Stats. 1999 ch. 433 § 5; Prop. 34 (2000); Stats. 2007 ch. 495 § 2; Stats. 2010 ch. 18 § 6","Yes","Yes","Yes","1000","100",,"Yes","Yes","Yes","Yes","Yes","Yes","12","Yes","Yes","25000","No",,"Yes","All contributions of $1,000 or more made within 90 days of the election must be reported within 24-hours to the Secretary of State","Yes","Yes","Yes","1000","100",,"Yes","Yes","Yes","Yes","Yes","Yes","12","Yes","Yes","25000","No",,"Yes","Yes","Yes","1000","100",,"Yes","Yes","Yes","Yes","Yes","Yes","12",,"Yes","Yes","25000","No",,"Yes","Yes","Yes","Yes","1000","100",,"Yes","Yes","Yes","Yes","Yes","Yes","12",,"Yes","Yes","50000","No",
"CT1996","CT",1996,"CGS §§ 9-333f, 9-333j, 9-333l, 9-333w, 9-333v; P.A. 95-144, P.A. 94-143, P.A. 94-132, P.A. 96-119, P.A. 87-576","Yes","Yes","Yes","501","31","For individuals contributing more than $1,000 in aggregate, employer and occupation need be reported, and the campaign must report whether the individual or business with which the individual is associated has a contract with the state of more than $5,000","Yes","Yes","Yes","Yes","Yes","Yes","7","No","No",,"No",,"No",,"Yes","Yes","Yes","501","31","For individuals contributing more than $1,000 in aggregate, employer and occupation need be reported, and the campaign must report whether the individual or business with which the individual is associated has a contract with the state of more than $5,000","Yes","Yes","Yes","Yes","Yes","Yes","12","No","No",,"No",,"Yes","Yes","Yes","501","31","For individuals contributing more than $1,000 in aggregate, employer and occupation need be reported, and the campaign must report whether the individual or business with which the individual is associated has a contract with the state of more than $5,000","Yes","Yes","Yes","Yes","Yes","Yes","7","NA","No","No",,"No",,"Yes","Yes","Yes","Yes","501","31","For individuals contributing more than $1,000 in aggregate, employer and occupation need be reported, and the campaign must report whether the individual or business with which the individual is associated has a contract with the state of more than $5,000","Yes","Yes","Yes","Yes","Yes","Yes","7",,"No","No",,"No",
"CT1998","CT",1998,"CGS §§ 9-333f, 9-333j, 9-333l, 9-333w, 9-333v, 9-348ee, 9-333n; P.A. 95-144, P.A. 94-143, P.A. 94-132, P.A. 96-119, P.A. 87-576, P.A. 97-5","Yes","Yes","Yes","501","31","For individuals contributing more than $100 in aggregate, employer and occupation are reported. If more than $1,000, the committee must report if the individual or business with which the are associated has a contract with the state of more than $5,000","Yes","Yes","Yes","Yes","Yes","Yes","7","No","No",,"No",,"No",,"Yes","Yes","Yes","501","31","For individuals contributing more than $100 in aggregate, employer and occupation are reported. If more than $1,000, the committee must report if the individual or business with which the are associated has a contract with the state of more than $5,000","Yes","Yes","Yes","Yes","Yes","Yes","12","No","No",,"No",,"Yes","Yes","Yes","501","31","For individuals contributing more than $100 in aggregate, employer and occupation are reported. If more than $1,000, the committee must report if the individual or business with which the are associated has a contract with the state of more than $5,000","Yes","Yes","Yes","Yes","Yes","Yes","7",,"No","No",,"No",,"Yes","Yes","Yes","Yes","501","31","For individuals contributing more than $1,000 in aggregate, employer and occupation need be reported, and the campaign must report whether the individual or business with which the individual is associated has a contract with the state of more than $5,000","Yes","Yes","Yes","Yes","Yes","Yes","7",,"No","No",,"No",
"CT2000","CT",2000,"CGS §§ 9-333f, 9-333j, 9-333l, 9-333w, 9-333v, 9-348ee, 9-333n; P.A. 95-144, P.A. 94-143, P.A. 94-132, P.A. 96-119, P.A. 87-576, P.A. 97-5","Yes","Yes","Yes","501","31","For individuals contributing more than $100 in aggregate, employer and occupation are reported. If more than $1,000, the committee must report if the individual or business with which the are associated has a contract with the state of more than $5,000","Yes","Yes","Yes","Yes","Yes","Yes","7","Yes","Yes","250000 for Gubernatorial candidates - voluntary e-filing for all other candidate committees","No",,"No",,"Yes","Yes","Yes","501","31","For individuals contributing more than $100 in aggregate, employer and occupation are reported. If more than $1,000, the committee must report if the individual or business with which the are associated has a contract with the state of more than $5,000","Yes","Yes","Yes","Yes","Yes","Yes","12","No","No",,"No",,"Yes","Yes","Yes","501","31","For individuals contributing more than $100 in aggregate, employer and occupation are reported. If more than $1,000, the committee must report if the individual or business with which the are associated has a contract with the state of more than $5,000","Yes","Yes","Yes","Yes","Yes","Yes","7",,"No","No",,"No",,"Yes","Yes","Yes","Yes","501","31","For individuals contributing more than $1,000 in aggregate, employer and occupation need be reported, and the campaign must report whether the individual or business with which the individual is associated has a contract with the state of more than $5,000","Yes","Yes","Yes","Yes","Yes","Yes","7",,"No","No",,"No",
