Identifier,State,Year,PublicFunding_Citation,PublicFunding_H,PublicFunding_H_type,PublicFunding_H_explain,Public Funding_H_Qualifying,PublicFunding_H_SpendLimit,PublicFunding_H_SpendLimit_Amount,PublicFunding_H_OtherConditions,PublicFunding_H_OtherConditions_Explained,PublicFunding_H_Trigger,PublicFunding_H_TriggerExplained,PublicFunding_H_Max,PublicFunding_H_Solicitation-by-Cand_Party,PublicFunding_H_Solicitation-by-Cand_Non-Party,PublicFunding_S,PublicFunding_S_type,PublicFunding_S_explain,Public Funding_S_Qualifying,PublicFunding_S_SpendLimit,PublicFunding_S_SpendLimit_Amount,PublicFunding_S_OtherConditions,PublicFunding_S_OtherConditions_Explained,PublicFunding_S_Trigger,PublicFunding_S_TriggerExplained,PublicFunding_S_Max,PublicFunding_S_Solicitation-by-Cand_Party,PublicFunding_S_Solicitation-by-Cand_Non-Party,PublicFunding_G,PublicFunding_G_type,PublicFunding_G_explain,Public Funding_G_Qualifying,PublicFunding_G_SpendLimit,PublicFunding_G_SpendLimit_Amount,PublicFunding_G_OtherConditions,PublicFunding_G_OtherConditions_Explained,PublicFunding_G_Trigger,PublicFunding_G_TriggerExplained,PublicFunding_G_Max,PublicFunding_G_Solicitation-by-Cand_Party,PublicFunding_G_Solicitation-by-Cand_Non-Party,PublicFunding_P,PublicFunding_P_Eligibility,PublicFunding_P_Formula,PublicFunding_P_TwoYrMax,SurchargePF,TaxCheckoffPF,DonatedPF,FilingRegFeesPF,FinesPF,GrantPF,UnexpendedPF,OtherPF,OtherPFExplain,SourcesofFunds,SpendingLimits_Other,SpendingLimits_Other_Explained
"AK1996","AK",1996,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No",,,,,,,,,,,,,,,
"AK1998","AK",1998,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No",,,,,"AK",,,,,,,,,,
"AK2000","AK",2000,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No",,,,,"AK",,,,,,,,,,
"AK2002","AK",2002,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No",,,,,"AK",,,,,,,,,,
"AK2004","AK",2004,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No",,,,,"AK",,,,,,,,,,
"AK2006","AK",2006,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No",,,,,"AK",,,,,,,,,,
"AK2008","AK",2008,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No",,,,,"AK",,,,,,,,,,
"AK2010","AK",2010,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No",,,,,"AK",,,,,,,,,,
"AK2012","AK",2012,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No",,,,,"AK",,,,,,,,,,
"AK2014","AK",2014,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No",,,,,"AK",,,,,,,,,,
"AK2016","AK",2016,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No",,,,,"AK",,,,,,,,,,
"AK2018","AK",2018,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No",,,,,"AK",,,,,,,,,,
"AL1996","AL",1996,"(83-781) 40-18-146","No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"Yes","Any party","The desginated part on return","no max",,,,,,,,,,"Amounts of contributions for an individual return shall be $1 and, for a joint return, $2. Such contributions shall increase the tax liability of the taxpayer by the amount contributed.",,
"AL1998","AL",1998,"(83-781) 40-18-146","No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"Yes","Any party","The desginated part on return","no max",,"AL",,,,,,,,"Amounts of contributions for an individual return shall be $1 and, for a joint return, $2. Such contributions shall increase the tax liability of the taxpayer by the amount contributed.",,
"AL2000","AL",2000,"(83-781) 40-18-146","No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"Yes","Any party","The desginated part on return","no max",,"AL",,,,,,,,"Amounts of contributions for an individual return shall be $1 and, for a joint return, $2. Such contributions shall increase the tax liability of the taxpayer by the amount contributed.",,
"AL2002","AL",2002,"(83-781) 40-18-146","No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"Yes","Any party","The desginated part on return","no max",,"AL",,,,,,,,"Amounts of contributions for an individual return shall be $1 and, for a joint return, $2. Such contributions shall increase the tax liability of the taxpayer by the amount contributed.",,
"AL2004","AL",2004,"(83-781) 40-18-146","No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"Yes","Any party","The desginated part on return","no max",,"AL",,,,,,,,"Amounts of contributions for an individual return shall be $1 and, for a joint return, $2. Such contributions shall increase the tax liability of the taxpayer by the amount contributed.",,
"AL2006","AL",2006,"(83-781) 40-18-146","No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"Yes","Any party","The desginated part on return","no max",,"AL",,,,,,,,"Amounts of contributions for an individual return shall be $1 and, for a joint return, $2. Such contributions shall increase the tax liability of the taxpayer by the amount contributed.",,
"AL2008","AL",2008,"(83-781) 40-18-146","No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"Yes","Any party","The desginated part on return","no max",,"AL",,,,,,,,"Amounts of contributions for an individual return shall be $1 and, for a joint return, $2. Such contributions shall increase the tax liability of the taxpayer by the amount contributed.",,
"AL2010","AL",2010,"(83-781) 40-18-146","No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"Yes","Any party","The desginated part on return","no max",,"AL",,,,,,,,"Amounts of contributions for an individual return shall be $1 and, for a joint return, $2. Such contributions shall increase the tax liability of the taxpayer by the amount contributed.",,
"AL2012","AL",2012,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No",,,,,"AL",,,,,,,,,,
"AL2014","AL",2014,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No",,,,,"AL",,,,,,,,,,
"AL2016","AL",2016,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No",,,,,"AL",,,,,,,,,,
"AL2018","AL",2018,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No",,,,,,,,,,,,,,,
"AR1996","AR",1996,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No",,,,,,,,,,,,,,,
"AR1998","AR",1998,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No",,,,,,,,,,,,,,,
"AR2000","AR",2000,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No",,,,,"AR",,,,,,,,,,
"AR2002","AR",2002,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No",,,,,"AR",,,,,,,,,,
"AR2004","AR",2004,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No",,,,,"AR",,,,,,,,,,
"AR2006","AR",2006,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No",,,,,"AR",,,,,,,,,,
"AR2008","AR",2008,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No",,,,,"AR",,,,,,,,,,
"AR2010","AR",2010,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No",,,,,"AR",,,,,,,,,,
"AR2012","AR",2012,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No",,,,,"AR",,,,,,,,,,
"AR2014","AR",2014,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No",,,,,"AR",,,,,,,,,,
"AR2016","AR",2016,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No","None",,,,,,,,,,,,"No",,,,,,,,,,,,,,,
