Identifier,State,Year,ContributionsToParties_Citation,IndividualToParty,IndividualToPartyLimit,IndividualToPartyLimit_Period,IndividualToPartyLimit_Max,IndividualToPartyLimit_Explained,CandToParty,CandToPartyLimit,CandToPartyLimit_Period,CandToPartyLimit_Max,CandToPartyLimit_Explained,PACToParty,PACToPartyLimit,PACToPartyLimit_Period,PACToPartyLimit_Max,PACToPartyLimit_Explained,CorpToParty,CorpToPartyLimit,CorpToPartyLimit_Period,CorpToPartyLimit_Max,CorpToPartyLimit_Explained,LaborToParty,LaborToPartyLimit,LaborToPartyLimit_Period,LaborToPartyLimit_Max,LaborToPartyLimit_Explained,LocalPToParty,LocalPToPartyLimit,LocalToPartyLimit_Period,LocalToPartyLimit_Max,LocalToPartyLimit_Explained,NationalPToParty,NationalPToPartyLimit,NationalPToPartyLimit_Period,NationalPToPartyLimit_Max,NationalPToPartyLimit_Explained,PartyLimitExemptions,PartyLimitExemptionsExplained,IndividualToLCC,IndividualToLCCLimit,IndividualToLCCLimit_Period,IndividualToLCCLimit_Max,IndividualToLCCLimit_Explained,CandToLCC,CandToLCCLimit,CandToLCCLimit_Period,CandToLCCLimit_Max,CandToLCCLimit_Explained,PACToLCC,PACToLCCLimit,PACToLCCLimit_Period,PACToLCCLimit_Max,PACToLCCLimit_Explained,CorpToLCC,CorpToLCCLimit,CorpToLCCLimit_Period,CorpToLCCLimit_Max,CorpToLCCLimit_Explained,LaborToLCC,LaborToLCCLimit,LaborToLCCLimit_Period,LaborToLCCLimit_Max,LaborToLCCLimit_Explained,LocalPToLCC,LocalPToLCCLimit,LocalPToLCCLimit_Period,LocalPToLCCLimit_Max,LocalPToLCCLimit_Explained,NationalPToLCC,NationalPToLCCLimit,NationalPToLCCLimit_Period,NationalPToLCCLimit_Max,NationalPToLCCLimit_Explained,LegCampaignCommLimit,LCCLimitExemptions,LCCLimitExemptionsExplained,DonorAggToPartyLimit,DonorAggToPartyLimit_Explained,PoliticalCommittees_Citation,IndividualToPAC,IndividualToPACLimit,IndividualToPACLimit_Period,IndividualToPACLimit_Max,IndividualToPACLimit_Explained,PACToPAC,PACToPACLimit,PACToPACLimit_Period,PACToPACLimit_Max,PACToPACLimit_Explained,CorpToPAC,CorpToPACLimit,CorpToPACLimit_Period,CorpToPACLimit_Max,CorpToPACLimit_Explained,LaborToPAC,LaborToPACLimit,LaborToPACLimit_Period,LaborToPACLimit_Max,LaborToPACLimit_Explained,StatePToPAC,StatePToPACLimit,StatePToPACLimit_Period,StatePToPACLimit_Max,StatePToPACLimit_Explained,LocalPToPAC,LocalPToPACLimit,LocalPToPACLimit_Period,LocalPToPACLimit_Max,LocalPToPACLimit_Explained,CandToPAC,CandToPACLimit,CandToPACLimit_Period,CandToPACLimit_Max,CandToPACLimit_Explained,DonorAggToPACLimit,DonorAggToPACLimit_Explained
"AK2016","AK",2016,"am §§ 8 -- 10 ch 108 SLA 2003; Alaska Stat. § 15.13.070","Limited",5000,"Per Year",10000,,"Limited",5000,"Per Year",,,"Limited",1000,"Per Year",,,"Prohibited",,,,,"Prohibited",,,,,"Prohibited",,,,,"Prohibited",,,,,"No","No","Limited",1000,"Per Year",,,"Limited",1000,"Per Year",,,"Limited",1000,"Per Year",,,"Prohibited",,,,,"Prohibited",,,,,"Prohibited",,,,,"Prohibited",,,,,"No","No",,,,"am §§ 9 -- 11 ch 1 SLA 2002; am § 2 ch 3 SLA 2002; Alaska Stat. § 15.13.070, 15.13.074","Limited",500,"Per Year",1000,,"Limited",1000,"Per Year",2000,,"Prohibited",,,,,"Prohibited",,,,,"Unlimited",,,,,"Prohibited",,,,,"Limited",500,"Per Year",,,"Yes",
"AL1996","AL",1996,"(No. 81-543) 10-2A-70.1","Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Limited",500,"Per Election",1000,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"No",,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Limited",500,"Per Election",1000,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"No","No",,,,,"Unlimited",,,,,"Unlimited",,,,,"Limited",500,"Per Election",1000,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"No",
"AL1998","AL",1998,"(No. 81-543) 10-2A-70.1","Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Limited",500,"Per Election",1000,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"No","No","Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Limited",500,"Per Election",1000,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"No","No",,,,,"Unlimited",,,,,"Unlimited",,,,,"Limited",500,"Per Election",1000,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"No",
"AL2000","AL",2000,"(No. 81-543) 10-2A-70.1","Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Limited",500,"Per Election",1000,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"No","No","Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Limited",500,"Per Election",1000,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"No","No",,,,,"Unlimited",,,,,"Unlimited",,,,,"Limited",500,"Per Election",1000,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"No",
"AL2002","AL",2002,"(No. 81-543) 10-2A-70.1","Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Limited",500,"Per Election",1000,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"No","No","Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Limited",500,"Per Election",1000,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"No","No",,,,,"Unlimited",,,,,"Unlimited",,,,,"Limited",500,"Per Election",1000,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"No",
"AL2004","AL",2004,"(No. 81-543) 10-2A-70.1","Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Limited",500,"Per Election",1000,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"No","No","Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Limited",500,"Per Election",1000,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"No","No",,,,,"Unlimited",,,,,"Unlimited",,,,,"Limited",500,"Per Election",1000,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"No",
"AL2006","AL",2006,"(No. 81-543) 10-2A-70.1","Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Limited",500,"Per Election",1000,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"No","No","Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Limited",500,"Per Election",1000,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"No","No",,,,,"Unlimited",,,,,"Unlimited",,,,,"Limited",500,"Per Election",1000,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"No",
"AL2008","AL",2008,"(No. 81-543) 10-2A-70.1","Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Limited",500,"Per Election",1000,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"No","No","Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Limited",500,"Per Election",1000,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"No","No",,,,,"Unlimited",,,,,"Unlimited",,,,,"Limited",500,"Per Election",1000,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"No",
"AL2010","AL",2010,"(No. 81-543) 10-2A-70.1","Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Limited",500,"Per Election",1000,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"No","No","Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Limited",500,"Per Election",1000,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"No","No",,,,,"Unlimited",,,,,"Unlimited",,,,,"Limited",500,"Per Election",1000,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"No",
"AL2012","AL",2012,"(No. 81-860;) 10A-21-1.04","Unlimited",,,,,"Unlimited",,,,"permits a principal campaign committee, while the candidate is in office, to pay qualifying fees to a political party and give up to $5,000 to the political party","Unlimited",,,,,"Limited",500,"Per Election",1000,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"No",,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Limited",500,"Per Election",1000,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Yes","No",,"No",,"10A-21-1.01","Unlimited",,,,,"Prohibited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Prohibited",,,,,"No",
"AL2014","AL",2014,"(No. 81-860;) 10A-21-1.04","Unlimited",,,,,"Unlimited",,,,"permits a principal campaign committee, while the candidate is in office, to pay qualifying fees to a political party and give up to $5,000 to the political party","Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"No",,"Unlimited",,,,,"Unlimited",,,,,"Prohibited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Yes","No",,"No",,"10A-21-1.01","Unlimited",,,,,"Prohibited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Prohibited",,,,,"No",
"AL2016","AL",2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AR1996","AR",1996,"Arkansas Code Annotated 7-6-215; Arkansas Code Annotated 7-6-204; Arkansas Code Annotated 7-6-201","Limited",1000,"Per Election",2000,,"Limited",1000,"Per Election",2000,,"Limited",1000,"Per Election",2000,,"Limited",1000,"Per Election",2000,,"Limited",1000,"Per Election",2000,,"Limited",2500,"Per Election",5000,,"Limited",2500,"Per Election",5000,,"No",,"Limited",1000,"Per Election",2000,,"Limited",1000,"Per Election",2000,,"Limited",1000,"Per Election",2000,,"Limited",1000,"Per Election",2000,,"Limited",1000,"Per Election",2000,,"Limited",2500,"Per Election",5000,,"Limited",2500,"Per Election",5000,,"Yes","No",,"No",,"§ 7-6-201.(9)(B)","Limited",200,"Per Year",800,,"Limited",200,"Per Year",800,,"Limited",200,"Per Year",800,,"Limited",200,"Per Year",800,,"Limited",200,"Per Year",800,,"Limited",200,"Per Year",800,,"Limited",200,"Per Year",800,,"No",
"AR1998","AR",1998,"Arkansas Code Annotated 7-6-215; Arkansas Code Annotated 7-6-204","Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"No",,"unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Yes","No",,"No",,"Contributions limits to PACs were overturned via Arkansas Right to Life Political Action v. Butler and Russell v. Burris","Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"No",
"AR2000","AR",2000,"Arkansas Code Annotated 7-6-215; Arkansas Code Annotated 7-6-204","Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"No",,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Yes","No",,"No",,"Contributions limits to PACs were overturned via Arkansas Right to Life Political Action v. Butler and Russell v. Burris","Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"No",
"AR2002","AR",2002,"Arkansas Code Annotated 7-6-215; Arkansas Code Annotated 7-6-204","Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"No",,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Yes","No",,"No",,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"No",
"AR2004","AR",2004,"Arkansas Code Annotated 7-6-215; Arkansas Code Annotated 7-6-204","Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"No",,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Yes","No",,"No",,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"No",
"AR2006","AR",2006,"Arkansas Code Annotated 7-6-215; Arkansas Code Annotated 7-6-204","Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"No",,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Yes","No",,"No",,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"No",
"AR2008","AR",2008,"Arkansas Code Annotated 7-6-215; Arkansas Code Annotated 7-6-204","Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"No",,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Yes","No",,"No",,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"No",
"AR2010","AR",2010,"Arkansas Code Annotated 7-6-215; Arkansas Code Annotated 7-6-204","Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"No",,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Yes","No",,"No",,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"No",
"AR2012","AR",2012,"Arkansas Code Annotated 7-6-215; Arkansas Code Annotated 7-6-204","Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"No",,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Yes","No",,"No",,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"No",
"AR2014","AR",2014,"Arkansas Code Annotated 7-6-215; Arkansas Code Annotated 7-6-204","Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"No",,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Yes","No",,"No",,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"Unlimited",,,,,"No",
"AR2016","AR",2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
