Identifier,State,Year,RefundOrTaxCreditOrTaxDeduction,RefundOrTaxCreditOrTaxDeduction_Citation,RefundOrTaxCreditFormula,RefundOrTaxCreditMax,EligibleContributionRecipients,EligibleToClaim_NoTaxOwed,EligibleToClaim_Deduction,EligibleToClaim_Other,EligibleToClaim_Other_Explained,Agency_Disclosure,Agency_Disclosure_Citation,Agency_Enforcement,Agency_Enforcement_Citation,Agency_PublicFinancing,Agency_PublicFinancing_Citation,Agency_RefundCreditDeduction,Agency_RefundCreditDeduction_Citation,Agency_Lobbying,Agency_Lobbying_Citation,Agency_DoingBusiness,Agency_DoingBusiness_Citation,Agency_FinancialDisclosureEthics,Agency_FinancialDisclosureEthics_Citation,Agency_Other,Agency_Other_Citation,OtherProvisions,OtherProvisions_Explained
"AK2010","AK",2010,"None",,,,,,,,,"Alaska Public Offices Commission","Alaska Stat. § 15.13.020","Alaska Public Offices Commission","Alaska Stat. § 15.13.020","N/A","N/A","N/A","N/A","Alaska Public Offices Commission","Alaska Stat. § 15.13.020","Alaska Public Offices Commission","Alaska Stat. § 15.13.020","Alaska Public Offices Commission","Alaska Stat. § 15.13.020",,,"No","N/A"
"AK2012","AK",2012,"None",,,,,,,,,"Alaska Public Offices Commission","Alaska Stat. § 15.13.020","Alaska Public Offices Commission","Alaska Stat. § 15.13.020","N/A","N/A","N/A","N/A","Alaska Public Offices Commission","Alaska Stat. § 15.13.020","Alaska Public Offices Commission","Alaska Stat. § 15.13.020","Alaska Public Offices Commission","Alaska Stat. § 15.13.020",,,"No","N/A"
"AK2014","AK",2014,"None",,,,,,,,,"Alaska Public Offices Commission","Alaska Stat. § 15.13.020","Alaska Public Offices Commission","Alaska Stat. § 15.13.020","N/A","N/A","N/A","N/A","Alaska Public Offices Commission","Alaska Stat. § 15.13.020","Alaska Public Offices Commission","Alaska Stat. § 15.13.020","Alaska Public Offices Commission","Alaska Stat. § 15.13.020",,,"No","N/A"
"AK2016","AK",2016,"None",,,,,,,,,"Alaska Public Offices Commission","Alaska Stat. § 15.13.020","Alaska Public Offices Commission","Alaska Stat. § 15.13.020","N/A","N/A","N/A","N/A","Alaska Public Offices Commission","Alaska Stat. § 15.13.020","Alaska Public Offices Commission","Alaska Stat. § 15.13.020","Alaska Public Offices Commission","Alaska Stat. § 15.13.020",,,"No","N/A"
"AK2018","AK",2018,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AL1996","AL",1996,"None",,,,,,,,,"Secretary of State","(1st Ex. Sess., No. 88-873) 17-22A-9","The Attorney General","(1st Ex. Sess., No. 88-873) 17-22A-22","State of Alabama, Department of Revenue","(No. 83-781) 40-18-146","N/A","N/A","Secretary of State","(1st Ex. Sess., No. 88-873) 17-22A-9","The Attorney General","(1st Ex. Sess., No. 88-873) 17-22A-22","The Attorney General","(1st Ex. Sess., No. 88-873) 17-22A-22",,,,
"AL1998","AL",1998,"None",,,,,,,,,"Secretary of State","(1st Ex. Sess., No. 88-873) 17-22A-9","The Attorney General","(1st Ex. Sess., No. 88-873) 17-22A-22","State of Alabama, Department of Revenue","(No. 83-781) 40-18-146","N/A","N/A","Secretary of State","(1st Ex. Sess., No. 88-873) 17-22A-9","The Attorney General","(1st Ex. Sess., No. 88-873) 17-22A-22","The Attorney General","(1st Ex. Sess., No. 88-873) 17-22A-22",,,,
"AL2000","AL",2000,"None",,,,,,,,,"Secretary of State","(1st Ex. Sess., No. 88-873) 17-22A-9","The Attorney General","(1st Ex. Sess., No. 88-873) 17-22A-22","State of Alabama, Department of Revenue","(No. 83-781) 40-18-146","N/A","N/A","Secretary of State","(1st Ex. Sess., No. 88-873) 17-22A-9","The Attorney General","(1st Ex. Sess., No. 88-873) 17-22A-22","The Attorney General","(1st Ex. Sess., No. 88-873) 17-22A-22",,,,
"AL2002","AL",2002,"None",,,,,,,,,"Secretary of State","(1st Ex. Sess., No. 88-873) 17-22A-9","The Attorney General","(1st Ex. Sess., No. 88-873) 17-22A-22","State of Alabama, Department of Revenue","(No. 83-781) 40-18-146","N/A","N/A","Secretary of State","(1st Ex. Sess., No. 88-873) 17-22A-9","The Attorney General","(1st Ex. Sess., No. 88-873) 17-22A-22","The Attorney General","(1st Ex. Sess., No. 88-873) 17-22A-22",,,,
"AL2004","AL",2004,"None",,,,,,,,,"Secretary of State","(1st Ex. Sess., No. 88-873) 17-22A-9","The Attorney General","(1st Ex. Sess., No. 88-873) 17-22A-22","State of Alabama, Department of Revenue","(No. 83-781) 40-18-146","N/A","N/A","Secretary of State","(1st Ex. Sess., No. 88-873) 17-22A-9","The Attorney General","(1st Ex. Sess., No. 88-873) 17-22A-22","The Attorney General","(1st Ex. Sess., No. 88-873) 17-22A-22",,,,
"AL2006","AL",2006,"None",,,,,,,,,"Secretary of State","(1st Ex. Sess., No. 88-873) 17-22A-9","The Attorney General","(1st Ex. Sess., No. 88-873) 17-22A-22","State of Alabama, Department of Revenue","(No. 83-781) 40-18-146","N/A","N/A","Secretary of State","(1st Ex. Sess., No. 88-873) 17-22A-9","The Attorney General","(1st Ex. Sess., No. 88-873) 17-22A-22","The Attorney General","(1st Ex. Sess., No. 88-873) 17-22A-22",,,,
"AL2008","AL",2008,"None",,,,,,,,,"Secretary of State","(1st Ex. Sess., No. 88-873) 17-22A-9","The Attorney General","(1st Ex. Sess., No. 88-873) 17-22A-22","State of Alabama, Department of Revenue","(No. 83-781) 40-18-146","N/A","N/A","Secretary of State","(1st Ex. Sess., No. 88-873) 17-22A-9","The Attorney General","(1st Ex. Sess., No. 88-873) 17-22A-22","The Attorney General","(1st Ex. Sess., No. 88-873) 17-22A-22",,,,
"AL2010","AL",2010,"None",,,,,,,,,"Secretary of State","(1st Ex. Sess., No. 88-873) 17-22A-9","The Attorney General","(1st Ex. Sess., No. 88-873) 17-22A-22","State of Alabama, Department of Revenue","(No. 83-781) 40-18-146","N/A","N/A","Secretary of State","(1st Ex. Sess., No. 88-873) 17-22A-9","The Attorney General","(1st Ex. Sess., No. 88-873) 17-22A-22","The Attorney General","(1st Ex. Sess., No. 88-873) 17-22A-22",,,,
"AL2012","AL",2012,"None",,,,,,,,,"Secretary of State and judge of probate","(1st Ex. Sess., No. 88-873)
17-5-11","Secretary of State and judge of probate","(Acts 2006, No. 06-570)  17-1-3","N/A","N/A","N/A","N/A",,,,,"Secretary of State and judge of probate","(Acts 2006, No. 06-570)  17-1-3",,,,
"AL2014","AL",2014,"None",,,,,,,,,"Secretary of State and judge of probate","(1st Ex. Sess., No. 88-873)
17-5-11","Secretary of State and judge of probate","(Acts 2006, No. 06-570)  17-1-3","N/A","N/A","N/A","N/A",,,,,"Secretary of State and judge of probate","(Acts 2006, No. 06-570)  17-1-3",,,,
"AL2016","AL",2016,"None",,,,,,,,,"Secretary of State and judge of probate","(1st Ex. Sess., No. 88-873)
17-5-11","Secretary of State and judge of probate","(Acts 2006, No. 06-570)  17-1-3","N/A","N/A","N/A","N/A",,,,,"Secretary of State and judge of probate","(Acts 2006, No. 06-570)  17-1-3",,,,
"AL2018","AL",2018,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AR1996","AR",1996,"None",,,,,,,,,"Secretary of State and County Clerk; Arkansas History Commission","Arkansas Code Annotated 7-6-207; Arkansas Code Annotated 7-6-214","Arkansas Ethics Commission","Arkansas Code Annotated 7-6-217","N/A","N/A","N/A","N/A","n/a","n/a","n/a","n/a","Arkansas Ethics Commission"," Arkansas Code Annotated 7-6-217",,,"No","N/A"
"AR1998","AR",1998,"Tax Credit","Arkansas Code Annotated 7-6-222","Aggregate contributions","$50 for single filers; $100 for joint filers"," A candidate seeking nomination or election to a public office at an election or to the candidate's campaign committee; a small donor political action committee; an approved political action committee; or an organized political party.","No","N/A","No","N/A","Secretary of State and County Clerk; Arkansas History Commission","Arkansas Code Annotated 7-6-207","Arkansas Ethics Commission","Arkansas Code Annotated 7-6-217; Arkansas Code Annotated 7-6-218","N/A","N/A","Department of Finance and Administration","Arkansas Code Annotated 7-6-222","n/a","n/a","n/a","n/a","Arkansas Ethics Commission"," Arkansas Code Annotated 7-6-217; Arkansas Code Annotated 7-6-218",,,"No","N/A"
"AR2000","AR",2000,"Tax Credit","Arkansas Code Annotated 7-6-222","Aggregate contributions","$50 for single filers; $100 for joint filers"," A candidate seeking nomination or election to a public office at an election or to the candidate's campaign committee; a small donor political action committee; an approved political action committee; or an organized political party.","No","N/A","No","N/A","Secretary of State and County Clerk; Arkansas History Commission","Arkansas Code Annotated 7-6-207","Arkansas Ethics Commission","Arkansas Code Annotated 7-6-217; Arkansas Code Annotated 7-6-218","N/A","N/A","Department of Finance and Administration","Arkansas Code Annotated 7-6-222","n/a","n/a","n/a","n/a","Arkansas Ethics Commission"," Arkansas Code Annotated 7-6-217; Arkansas Code Annotated 7-6-218",,,"No","N/A"
"AR2002","AR",2002,"Tax Credit","Arkansas Code Annotated 7-6-222","Aggregate contributions","$50 for single filers; $100 for joint filers"," A candidate seeking nomination or election to a public office at an election or to the candidate's campaign committee; a small donor political action committee; an approved political action committee; or an organized political party.","No","N/A","No","N/A","Secretary of State and County Clerk; Arkansas History Commission","Arkansas Code Annotated 7-6-207","Arkansas Ethics Commission","Arkansas Code Annotated 7-6-217; Arkansas Code Annotated 7-6-218","N/A","N/A","Department of Finance and Administration","Arkansas Code Annotated 7-6-222","n/a","n/a","n/a","n/a","Arkansas Ethics Commission"," Arkansas Code Annotated 7-6-217; Arkansas Code Annotated 7-6-218",,,"No","N/A"
"AR2004","AR",2004,"Tax Credit","Arkansas Code Annotated 7-6-222","Aggregate contributions","$50 for single filers; $100 for joint filers"," A candidate seeking nomination or election to a public office at an election or to the candidate's campaign committee; a small donor political action committee; an approved political action committee; or an organized political party.","No","N/A","No","N/A","Secretary of State and County Clerk; Arkansas History Commission","Arkansas Code Annotated 7-6-207","Arkansas Ethics Commission","Arkansas Code Annotated 7-6-217; Arkansas Code Annotated 7-6-218","N/A","N/A","Department of Finance and Administration","Arkansas Code Annotated 7-6-222","n/a","n/a","n/a","n/a","Arkansas Ethics Commission"," Arkansas Code Annotated 7-6-217; Arkansas Code Annotated 7-6-218",,,"No","N/A"
"AR2006","AR",2006,"Tax Credit","Arkansas Code Annotated 7-6-222","Aggregate contributions","$50 for single filers; $100 for joint filers"," A candidate seeking nomination or election to a public office at an election or to the candidate's campaign committee; a small donor political action committee; an approved political action committee; or an organized political party.","No","N/A","No","N/A","Secretary of State and County Clerk; Arkansas History Commission","Arkansas Code Annotated 7-6-207","Arkansas Ethics Commission","Arkansas Code Annotated 7-6-217; Arkansas Code Annotated 7-6-218","N/A","N/A","Department of Finance and Administration","Arkansas Code Annotated 7-6-222","n/a","n/a","n/a","n/a","Arkansas Ethics Commission"," Arkansas Code Annotated 7-6-217; Arkansas Code Annotated 7-6-218",,,"No","N/A"
"AR2008","AR",2008,"Tax Credit","Arkansas Code Annotated 7-6-222","Aggregate contributions","$50 for single filers; $100 for joint filers"," A candidate seeking nomination or election to a public office at an election or to the candidate's campaign committee; a small donor political action committee; an approved political action committee; or an organized political party.","No","N/A","No","N/A","Secretary of State and County Clerk; Arkansas History Commission","Arkansas Code Annotated 7-6-207","Arkansas Ethics Commission","Arkansas Code Annotated 7-6-217; Arkansas Code Annotated 7-6-218","N/A","N/A","Department of Finance and Administration","Arkansas Code Annotated 7-6-222","n/a","n/a","n/a","n/a","Arkansas Ethics Commission"," Arkansas Code Annotated 7-6-217; Arkansas Code Annotated 7-6-218",,,"No","N/A"
"AR2010","AR",2010,"Tax Credit","Arkansas Code Annotated 7-6-222","Aggregate contributions","$50 for single filers; $100 for joint filers"," A candidate seeking nomination or election to a public office at an election or to the candidate's campaign committee; a small donor political action committee; an approved political action committee; or an organized political party.","No","N/A","No","N/A","Secretary of State and County Clerk; Arkansas History Commission","Arkansas Code Annotated 7-6-207","Arkansas Ethics Commission","Arkansas Code Annotated 7-6-217; Arkansas Code Annotated 7-6-218","N/A","N/A","Department of Finance and Administration","Arkansas Code Annotated 7-6-222","n/a","n/a","n/a","n/a","Arkansas Ethics Commission"," Arkansas Code Annotated 7-6-217; Arkansas Code Annotated 7-6-218",,,"No","N/A"
"AR2012","AR",2012,"Tax Credit","Arkansas Code Annotated 7-6-222","Aggregate contributions","$50 for single filers; $100 for joint filers"," A candidate seeking nomination or election to a public office at an election or to the candidate's campaign committee; a small donor political action committee; an approved political action committee; or an organized political party.","No","N/A","No","N/A","Secretary of State and County Clerk; Arkansas History Commission","Arkansas Code Annotated 7-6-207","Arkansas Ethics Commission","Arkansas Code Annotated 7-6-217; Arkansas Code Annotated 7-6-218","N/A","N/A","Department of Finance and Administration","Arkansas Code Annotated 7-6-222","n/a","n/a","n/a","n/a","Arkansas Ethics Commission"," Arkansas Code Annotated 7-6-217; Arkansas Code Annotated 7-6-218",,,"No","N/A"
"AR2014","AR",2014,"Tax Credit","Arkansas Code Annotated 7-6-222","Aggregate contributions","$50 for single filers; $100 for joint filers"," A candidate seeking nomination or election to a public office at an election or to the candidate's campaign committee; a small donor political action committee; an approved political action committee; or an organized political party.","No","N/A","No","N/A","Secretary of State and County Clerk; Arkansas History Commission","Arkansas Code Annotated 7-6-207","Arkansas Ethics Commission","Arkansas Code Annotated 7-6-217; Arkansas Code Annotated 7-6-218","N/A","N/A","Department of Finance and Administration","Arkansas Code Annotated 7-6-222","n/a","n/a","n/a","n/a","Arkansas Ethics Commission"," Arkansas Code Annotated 7-6-217; Arkansas Code Annotated 7-6-218",,,"No","N/A"
"AR2016","AR",2016,"Tax Credit","Arkansas Code Annotated 7-6-222","Aggregate contributions","$50 for single filers; $100 for joint filers"," A candidate seeking nomination or election to a public office at an election or to the candidate's campaign committee; a small donor political action committee; an approved political action committee; or an organized political party.","No","N/A","No","N/A","Secretary of State and County Clerk; Arkansas History Commission","Arkansas Code Annotated 7-6-207","Arkansas Ethics Commission","Arkansas Code Annotated 7-6-217; Arkansas Code Annotated 7-6-218","N/A","N/A","Department of Finance and Administration","Arkansas Code Annotated 7-6-222","n/a","n/a","n/a","n/a","Arkansas Ethics Commission"," Arkansas Code Annotated 7-6-217; Arkansas Code Annotated 7-6-218",,,"No","N/A"
"AR2018","AR",2018,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AZ1996","AZ",1996,"None",,,,,,,,,"Secretary of State, Board of Supervisors, City Clerk","ARS § 16-916","Secretary of State, Attorney General, County/City Attorney","ARS §§ 16-1021, 16-924","Department of Revenue, State Treasurer","ARS § 16-807","N/A","N/A","Secretary of State","ARS § 41-1239","NA",,"Secretary of State","ARS § 38-542",,,,
"AZ1998","AZ",1998,"None",,,,,,,,,"Secretary of State, Board of Supervisors, City Clerk","ARS § 16-916","Secretary of State, Attorney General, County/City Attorney","ARS §§ 16-1021, 16-924","Department of Revenue, State Treasurer","ARS § 16-807","N/A","N/A","Secretary of State","ARS § 41-1239","NA",,"Secretary of State","ARS § 38-542",,,"No","N/A"
"AZ2000","AZ",2000,"Tax Credit","ARS § 16-954","Full credit","20% of total tax owed or $500, whichever is greater","Only contributions to the Citizens Clean Elections Fund","Unclear","N/A","No","N/A","Secretary of State, Board of Supervisors, City Clerk","ARS § 16-916","Secretary of State, Attorney General, County/City Attorney","ARS §§ 16-1021, 16-924","Department of Revenue, State Treasurer, Secretary of State, Arziona Clean Elections Commission","ARS §§ 16-807, 16-950, 16-955","Department of Revenue","ARS § 16-954","Secretary of State","ARS § 41-1239","NA",,"Secretary of State","ARS § 38-542",,,"No","N/A"
"AZ2002","AZ",2002,"Tax Credit","ARS § 16-954","Full credit","20% of total tax owed or $500, whichever is greater","Only contributions to the Citizens Clean Elections Fund","Unclear","N/A","No","N/A","Secretary of State, Board of Supervisors, City Clerk","ARS § 16-916","Secretary of State, Attorney General, County/City Attorney","ARS §§ 16-1021, 16-924","Department of Revenue, State Treasurer, Secretary of State, Arziona Clean Elections Commission","ARS §§ 16-807, 16-950, 16-955","Department of Revenue","ARS § 16-954","Secretary of State","ARS § 41-1239","NA",,"Secretary of State","ARS § 38-542",,,"No","N/A"
"AZ2004","AZ",2004,"Tax Credit","ARS § 16-954","Full credit","20% of total tax owed or $500, whichever is greater","Only contributions to the Citizens Clean Elections Fund","Unclear","N/A","No","N/A","Secretary of State, Board of Supervisors, City Clerk","ARS § 16-916","Secretary of State, Attorney General, County/City Attorney","ARS §§ 16-1021, 16-924","Department of Revenue, State Treasurer, Secretary of State, Arziona Clean Elections Commission","ARS §§ 16-807, 16-950, 16-955","Department of Revenue","ARS § 16-954","Secretary of State","ARS § 41-1239","NA",,"Secretary of State","ARS § 38-542",,,"No","N/A"
"AZ2006","AZ",2006,"Tax Credit","ARS § 16-954","Full credit","20% of total tax owed or $500, whichever is greater","Only contributions to the Citizens Clean Elections Fund","Unclear","N/A","No","N/A","Secretary of State, Board of Supervisors, City Clerk","ARS § 16-916","Secretary of State, Attorney General, County/City Attorney","ARS §§ 16-1021, 16-924","Department of Revenue, State Treasurer, Secretary of State, Arziona Clean Elections Commission","ARS §§ 16-807, 16-950, 16-955","Department of Revenue","ARS § 16-954","Secretary of State","ARS § 41-1239","NA",,"Secretary of State","ARS § 38-542",,,"No","N/A"
