Identifier,State,Year,ContribLimit_Citation,COLA,COLA_Which,COLA_BaseYear,Adjustment_Other,Adjustment_Other_Explained,Adjustment_Other_BaseYear,Primary_General_Difference,Primary_General_Difference_Explained,IndividualToCand,IndividualToCandLimit_H,IndividualToCandLimit_H_Period,IndividualToCandLimit_H_Max,IndividualToCandLimit_H_Explained,IndividualToCandLimit_S,IndividualToCandLimit_S_Period,IndividualToCandLimit_S_Max,IndividualToCandLimit_S_Explained,IndividualToCandLimit_G,IndividualToCandLimit_G_Period,IndividualToCandLimit_G_Max,IndividualToCandLimit_G_Explained,PACToCand,PACToCandLimit_H,PACToCandLimit_H_Period,PACToCandLimit_H_Max,PACToCandLimit_H_Explained,PACToCandLimit_S,PACToCandLimit_S_Period,PACToCandLimit_S_Max,PACToCandLimit_S_Explained,PACToCandLimit_G,PACToCandLimit_G_Period,PACToCandLimit_G_Max,PACToCandLimit_G_Explained,SpecialPACToCand,SpecialPACToCandLimit_H,SpecialPACToCandLimit_H_Period,SpecialPACToCandLimit_H_Max,SpecialPACToCandLimit_H_Explained,SpecialPACToCandLimit_S,SpecialPACToCandLimit_S_Period,SpecialPACToCandLimit_S_Max,SpecialPACToCandLimit_S_Explained,SpecialPACToCandLimit_G,SpecialPACToCandLimit_G_Period,SpecialPACToCandLimit_G_Max,SpecialPACToCandLimit_G_Explained,CorpToCand,CorpToCandLimit_H,CorpToCandLimit_H_Period,CorpToCandLimit_H_Max,CorpToCandLimit_H_Explained,CorpToCandLimit_S,CorpToCandLimit_S_Period,CorpToCandLimit_S_Max,CorpToCandLimit_S_Explained,CorpToCandLimit_G,CorpToCandLimit_G_Period,CorpToCandLimit_G_Max,CorpToCandLimit_G_Explained,LaborToCand,LaborToCandLimit_H,LaborToCandLimit_H_Period,LaborToCandLimit_H_Max,LaborToCandLimit_H_Explained,LaborToCandLimit_S,LaborToCandLimit_S_Period,LaborToCandLimit_S_Max,LaborToCandLimit_S_Explained,LaborToCandLimit_G,LaborToCandLimit_G_Period,LaborToCandLimit_G_Max,LaborToCandLimit_G_Explained,StatePToCand,StatePToCandLimit_H,StatePToCandLimit_H_Period,StatePToCandLimit_H_Max,StatePToCandLimit_H_Explained,StatePToCandLimit_S,StatePToCandLimit_S_Period,StatePToCandLimit_S_Max,StatePToCandLimit_S_Explained,StatePToCandLimit_G,StatePToCandLimit_G_Period,StatePToCandLimit_G_Max,StatePToCandLimit_G_Explained,LocalPToCand,LocalPToCandLimit_H,LocalPToCandLimit_H_Period,LocalPToCandLimit_H_Max,LocalPToCandLimit_H_Explained,LocalPToCandLimit_S,LocalPToCandLimit_S_Period,LocalPToCandLimit_S_Max,LocalPToCandLimit_S_Explained,LocalPToCandLimit_G,LocalPToCandLimit_G_Period,LocalPToCandLimit_G_Max,LocalPToCandLimit_G_Explained,OtherCandToCand,OtherToCandLimit_H,OtherToCandLimit_H_Period,OtherToCandLimit_H_Max,OtherToCandLimit_H_Explained,OtherToCandLimit_S,OtherToCandLimit_S_Period,OtherToCandLimit_S_Max,OtherToCandLimit_S_Explained,OtherToCandLimit_G,OtherToCandLimit_G_Period,OtherToCandLimit_G_Max,OtherToCandLimit_G_Explained,AggCandLimit,AggCandLimitExplain,DoingBusinessLimits,DoingBusinessMinimum,DoingBusinessDonors,DoingBusinessContribLimit,DoingBusinessCandidates,DoingBusinessParties,DoingBusinessOther,Lobbyist_Limits,Lobbyist_Limits_Explain,CandLimitExemptions,CandLimitExemptionsExplained,SpecialConditionsChangeLimits,SpecialConditionsLimitsExplained
"CO2006","CO",2006,"Colo. Rev. Stat. §§ 1-45-103.7, 1-45-105.5 (2006); Colo. Const. Art. 28 § 3 (2006)","Yes","All",2004,"No",,,"No",,"Limited",200,"Per Election",400,,200,"Per Election",400,,500,"Per Election",1000,,"Limited",200,"Per Election",400,,200,"Per Election",400,,500,"Per Election",1000,,"Limited","2000","Per Election","4000",,"2000","Per Election","4000",,"5000","Per Election","10000",,"Prohibited",0,,0,"a corporation or labor organization may establish a political committee or small donor committee which may accept contributions or dues from employees, officeholders, shareholders, or members",0,,0,,0,,0,,"Prohibited",0,,0,"a corporation or labor organization may establish a political committee or small donor committee which may accept contributions or dues from employees, officeholders, shareholders, or members",0,,0,,0,,0,,"Limited",13000,"Per Election",26000,,18000,"Per Election",36000,,500000,"Per Election",1000000,,"Limited","13000","Per Election","26000",,"18000","Per Election","36000",,"500000","Per Election","1000000",,"Prohibited",,,,,,,,,,,,,"No",,"No",,,,,,,"Yes","(1)(a) No professional lobbyist, volunteer lobbyist, or principal of a professional lobbyist or volunteer lobbyist shall make or promise to make a contribution to, or solicit or promise to solicit a contribution for:
(I) A member of the general assembly or candidate for the general assembly, when the general assembly is in regular session;
(II)(A) The governor or a candidate for governor when the general assembly is in regular session or when any measure adopted by the general assembly in a regular session is pending before the governor for approval or disapproval; or
(B) The lieutenant governor, the secretary of state, the state treasurer, the attorney general, or a candidate for any of such offices when the general assembly is in regular session.","No",,"No",
"CO2008","CO",2008,"Colo. Rev. Stat. §§ 1-45-103.7, 1-45-105.5, 24-6-301 (2008); Colo. Const. Art. 28 § 3 (2008)","Yes","All",2004,"No",,,"No",,"Limited",200,"Per Election",400,,200,"Per Election",400,,525,"Per Election",1050,,"Limited",200,"Per Election",400,,200,"Per Election",400,,525,"Per Election",1050,,"Limited","2125","Per Election","4250",,"2125","Per Election","4250",,"5300","Per Election","10600",,"Prohibited",0,,0,"a corporation or labor organization may establish a political committee or small donor committee which may accept contributions or dues from employees, officeholders, shareholders, or members",0,,0,,0,,0,,"Prohibited",0,,0,"a corporation or labor organization may establish a political committee or small donor committee which may accept contributions or dues from employees, officeholders, shareholders, or members",0,,0,,0,,0,,"Limited",13870,"Per Election",27740,,19080,"Per Election",38160,,530000,"Per Election",1060000,,"Limited","13870","Per Election","27740",,"19080","Per Election","38160",,"530000","Per Election","1060000",,"Prohibited",,,,,,,,,,,,,"No",,"No",,,,,,,"Yes"," “Professional lobbyist” means any individual who engages himself or is engaged by any other person for pay or for any consideration for lobbying. “Professional lobbyist” does not include any volunteer lobbyist, any state official or employee acting in his official capacity, except as provided in section 24-6-303.5, any elected public official acting in his official capacity, or any individual who appears as counsel or advisor in an adjudicatory proceeding.  “Volunteer lobbyist” means any individual who engages in lobbying and whose only receipt of money or other thing of value consists of nothing more than reimbursement for actual and reasonable expenses incurred for personal needs, such as meals, travel, lodging, and parking, while engaged in lobbying or for actual expenses incurred in informing the organization making the reimbursement or the members thereof of his lobbying. (a) No professional lobbyist, volunteer lobbyist, or principal of a professional lobbyist or volunteer lobbyist shall make or promise to make a contribution to, or solicit or promise to solicit a contribution for:
(I) A member of the general assembly or candidate for the general assembly, when the general assembly is in regular session;
(II)(A) The governor or a candidate for governor when the general assembly is in regular session or when any measure adopted by the general assembly in a regular session is pending before the governor for approval or disapproval; or
(B) The lieutenant governor, the secretary of state, the state treasurer, the attorney general, or a candidate for any of such offices when the general assembly is in regular session.","No",,"No",
"CO2010","CO",2010,"Colo. Rev. Stat. §§ 1-45-103.7, 1-45-105.5, 24-6-301 (2010); Colo. Const. Art. 28 § 3 (2010)","Yes","All",2004,"No",,,"No",,"Limited",200,"Per Election",400,,200,"Per Election",400,,525,"Per Election",1050,,"Limited",200,"Per Election",400,,200,"Per Election",400,,525,"Per Election",1050,,"Limited","2125","Per Election","4250",,"2125","Per Election","4250",,"5300","Per Election","10600",,"Prohibited",0,,0,"a corporation or labor organization may establish a political committee or small donor committee which may accept contributions or dues from employees, officeholders, shareholders, or members",0,,0,"the case of In re INTERROGATORIES PROPOUNDED BY GOVERNOR Bill RITTER, JR., CONCERNING the EFFECT OF CITIZENS UNITED v. FEDERAL ELECTION COMMISSION, 558 U.S. –––– (2010) ON CERTAIN PROVISIONS OF ARTICLE XXIII OF the CONSTITUTION OF the STATE of Colorado did not change the prohibition on contributions, just on expenditures advocating election or defeat",0,,0,,"Prohibited",0,,0,"a corporation or labor organization may establish a political committee or small donor committee which may accept contributions or dues from employees, officeholders, shareholders, or members",0,,0,"the case of In re INTERROGATORIES PROPOUNDED BY GOVERNOR Bill RITTER, JR., CONCERNING the EFFECT OF CITIZENS UNITED v. FEDERAL ELECTION COMMISSION, 558 U.S. –––– (2010) ON CERTAIN PROVISIONS OF ARTICLE XXIII OF the CONSTITUTION OF the STATE of Colorado did not change the prohibition on contributions, just on expenditures advocating election or defeat",0,,0,,"Limited",13870,"Per Election",27740,,19080,"Per Election",38160,,530000,"Per Election",1060000,,"Limited","13870","Per Election","27740",,"19080","Per Election","38160",,"530000","Per Election","1060000",,"Prohibited",,,,,,,,,,,,,"No",,"No",,,,,,,"Yes","“Professional lobbyist” means any individual who engages himself or is engaged by any other person for pay or for any consideration for lobbying. “Professional lobbyist” does not include any volunteer lobbyist, any state official or employee acting in his official capacity, except as provided in section 24-6-303.5, any elected public official acting in his official capacity, or any individual who appears as counsel or advisor in an adjudicatory proceeding. “Volunteer lobbyist” means any individual who engages in lobbying and whose only receipt of money or other thing of value consists of nothing more than reimbursement for actual and reasonable expenses incurred for personal needs, such as meals, travel, lodging, and parking, while engaged in lobbying or for actual expenses incurred in informing the organization making the reimbursement or the members thereof of his lobbying.","No",,"No",
"CO2012","CO",2012,"Colo. Rev. Stat. §§ 1-45-103.7, 1-45-105.5, 24-6-301 (2012); Colo. Const. Art. 28 § 3 (2012)","Yes","All",2004,"No",,,"No",,"Limited",200,"Per Election",400,,200,"Per Election",400,,550,"Per Election",1100,,"Limited",200,"Per Election",400,,200,"Per Election",400,,550,"Per Election",1100,,"Limited","2250","Per Election","4500",,"2250","Per Election","4500",,"5675","Per Election","11350",,"Prohibited",0,,0,"a corporation or labor organization may establish a political committee or small donor committee which may accept contributions or dues from employees, officeholders, shareholders, or members",0,,0,,0,,0,,"Prohibited",0,,0,"a corporation or labor organization may establish a political committee or small donor committee which may accept contributions or dues from employees, officeholders, shareholders, or members",0,,0,,0,,0,,"Limited",14850,"Per Election",29700,,20500,"Per Election",41000,,559530,"Per Election",1119060,,"Limited","14805","Per Election","29610",,"20500","Per Election","41000",,"559530","Per Election","1119060",,"Prohibited",,,,,,,,,,,,,"No",,"No",,,,,,,"Yes","“Professional lobbyist” means any individual who engages himself or is engaged by any other person for pay or for any consideration for lobbying. “Professional lobbyist” does not include any volunteer lobbyist, any state official or employee acting in his official capacity, except as provided in section 24-6-303.5, any elected public official acting in his official capacity, or any individual who appears as counsel or advisor in an adjudicatory proceeding. “Volunteer lobbyist” means any individual who engages in lobbying and whose only receipt of money or other thing of value consists of nothing more than reimbursement for actual and reasonable expenses incurred for personal needs, such as meals, travel, lodging, and parking, while engaged in lobbying or for actual expenses incurred in informing the organization making the reimbursement or the members thereof of his lobbying.","No",,"No",
"CO2014","CO",2014,"Colo. Rev. Stat. §§ 1-45-103.7, 1-45-105.5, 24-6-301 (2014); Colo. Const. Art. 28 § 3 (2014)","Yes","All",2004,"No",,,"No",,"Limited",200,"Per Election",400,,200,"Per Election",400,,550,"Per Election",1100,,"Limited",200,"Per Election",400,,200,"Per Election",400,,550,"Per Election",1100,,"Limited","2250","Per Election","4500",,"2250","Per Election","4500",,"5675","Per Election","11350",,"Prohibited",0,,0,"a corporation or labor organization may establish a political committee or small donor committee which may accept contributions or dues from employees, officeholders, shareholders, or members",0,,0,,0,,0,,"Prohibited",0,,0,"a corporation or labor organization may establish a political committee or small donor committee which may accept contributions or dues from employees, officeholders, shareholders, or members",0,,0,,0,,0,,"Limited",14850,"Per Election",29700,,20500,"Per Election",41000,,559530,"Per Election",1119060,,"Limited","14805","Per Election","29610",,"20500","Per Election","41000",,"559530","Per Election","1119060",,"Prohibited",,,,,,,,,,,,,"No",,"No",,,,,,,"Yes","“Professional lobbyist” means any individual who engages himself or is engaged by any other person for pay or for any consideration for lobbying. “Professional lobbyist” does not include any volunteer lobbyist, any state official or employee acting in his official capacity, except as provided in section 24-6-303.5, any elected public official acting in his official capacity, or any individual who appears as counsel or advisor in an adjudicatory proceeding. “Volunteer lobbyist” means any individual who engages in lobbying and whose only receipt of money or other thing of value consists of nothing more than reimbursement for actual and reasonable expenses incurred for personal needs, such as meals, travel, lodging, and parking, while engaged in lobbying or for actual expenses incurred in informing the organization making the reimbursement or the members thereof of his lobbying.","No",,"No",
"CO2016","CO",2016,"Colo. Rev. Stat. §§ 1-45-103.7, 1-45-105.5, 24-6-301 (2016); Colo. Const. Art. 28 § 3 (2016)","Yes","All",2011,"No",,,"No",,"Limited",200,"Per Election",400,,200,"Per Election",400,,575,"Per Election",1100,"Applies to Lieutenant Governor and Governor jointly","Limited",200,"Per Election",400,,200,"Per Election",400,,575,"Per Election",1100,"Applies to Lieutenant Governor and Governor jointly","Limited","2350","Per Election","4700",,"2350","Per Election","4700",,"5950","Per Election","11900",,"Prohibited",0,,0,"a corporation or labor organization may establish a political committee or small donor committee which may accept contributions or dues from employees, officeholders, shareholders, or members",0,,0,,0,,0,,"Prohibited",0,,0,"a corporation or labor organization may establish a political committee or small donor committee which may accept contributions or dues from employees, officeholders, shareholders, or members",0,,0,,0,,0,,"Limited",15600,"Per Election",31200,,21550,"Per Election",43100,,588600,"Per Election",1177229,,"Limited","15600","Per Election","31200",,"21550","Per Election","43100",,"588600","Per Election","1177229",,"Prohibited",,,,,,,,,,,,,"No",,"No",,,,,,,"Yes","“Professional lobbyist” means any individual who engages himself or is engaged by any other person for pay or for any consideration for lobbying. “Professional lobbyist” does not include any volunteer lobbyist, any state official or employee acting in his official capacity, except as provided in section 24-6-303.5, any elected public official acting in his official capacity, or any individual who appears as counsel or advisor in an adjudicatory proceeding. “Volunteer lobbyist” means any individual who engages in lobbying and whose only receipt of money or other thing of value consists of nothing more than reimbursement for actual and reasonable expenses incurred for personal needs, such as meals, travel, lodging, and parking, while engaged in lobbying or for actual expenses incurred in informing the organization making the reimbursement or the members thereof of his lobbying.","No",,"No",
"CT1996","CT",1996,"CGS §§ 9-333m, 9-333n, 9-333o, 9-333p, 9-333q, 9-333r, 9-333s, 9-333t; P.A. 92-246, P.A. 95-188, P.A. 86-99, P.A. 86-240, P.A. 91-351, P.A. 90-230","No",,,"No",,,"No",,"Limited",250,"Per Election",500,,500,"Per Election",1000,,2500,"Per Election",5000,,"Limited",250,"Per Election",500,"Corporate PACs have separate $500 limit",500,"Per Election",1000,"Corporate PACs have separate $1000 limit",2500,"Per Election",5000,"Corporate PACs have separate $5000 limit","No",,,,,,,,,,,,,"Prohibited",0,,0,,0,,0,,0,,0,,"Prohibited",0,,0,,0,,0,,0,,0,,"Unlimited",,,,,,,,,,,,,"Unlimited",,,,,,,,,,,,,"Prohibited",,,,,,,,,,,,,"Yes","Individuals may not contribute more than $15,000 to candidates in any single election cycle","No",,,,,,,"Yes","A lobbyist is someone who makes expenditures, or receives compensation, reimbursement, or both, and such compensation, reimbursement or expenditures are two thousand dollars or more in any calendar year for communicating directly or soliciting others to communicate with any official or his staff in the legislative or executive branch or in a quasi-public agency, for the purpose of influencing any legislative or administrative action","No",,"No",
"CT1998","CT",1998,"CGS §§ 9-333m, 9-333n, 9-333o, 9-333p, 9-333q, 9-333r, 9-333s, 9-333t; P.A. 92-246, P.A. 95-188, P.A. 86-99, P.A. 86-240, P.A. 91-351, P.A. 90-230, P.A. 97-5","No",,,"No",,,"No",,"Limited",250,"Per Election",500,,500,"Per Election",1000,,2500,"Per Election",5000,,"Limited",250,"Per Election",500,"Corporate PACs have separate $500 limit",500,"Per Election",1000,"Corporate PACs have separate $1000 limit",2500,"Per Election",5000,"Corporate PACs have separate $5000 limit","No",,,,,,,,,,,,,"Prohibited",0,,0,,0,,0,,0,,0,,"Prohibited",0,,0,,0,,0,,0,,0,,"Unlimited",,,,,,,,,,,,,"Unlimited",,,,,,,,,,,,,"Prohibited",,,,,,,,,,,,,"Yes","Individuals may not contribute more than $15,000 to candidates in any single election cycle","No",,,,,,,"Yes","A lobbyist is someone who makes expenditures, or receives compensation, reimbursement, or both, and such compensation, reimbursement or expenditures are two thousand dollars or more in any calendar year for communicating directly or soliciting others to communicate with any official or his staff in the legislative or executive branch or in a quasi-public agency, for the purpose of influencing any legislative or administrative action","No",,"No",
"CT2000","CT",2000,"CGS §§ 9-333m, 9-333n, 9-333o, 9-333p, 9-333q, 9-333r, 9-333s, 9-333t; P.A. 92-246, P.A. 95-188, P.A. 86-99, P.A. 86-240, P.A. 91-351, P.A. 90-230, P.A. 97-5","No",,,"No",,,"No",,"Limited",250,"Per Election",500,,500,"Per Election",1000,,2500,"Per Election",5000,,"Limited",250,"Per Election",500,"Corporate PACs have separate $500 limit",500,"Per Election",1000,"Corporate PACs have separate $1000 limit",2500,"Per Election",5000,"Corporate PACs have separate $5000 limit","No",,,,,,,,,,,,,"Prohibited",0,,0,,0,,0,,0,,0,,"Prohibited",0,,0,,0,,0,,0,,0,,"Unlimited",,,,,,,,,,,,,"Unlimited",,,,,,,,,,,,,"Prohibited",,,,,,,,,,,,,"Yes","Individuals may not contribute more than $15,000 to candidates in any single election cycle","No",,,,,,,"Yes","A lobbyist is someone who makes expenditures, or receives compensation, reimbursement, or both, and such compensation, reimbursement or expenditures are two thousand dollars or more in any calendar year for communicating directly or soliciting others to communicate with any official or his staff in the legislative or executive branch or in a quasi-public agency, for the purpose of influencing any legislative or administrative action","No",,"No",
"CT2002","CT",2002,"CGS §§ 9-333m, 9-333n, 9-333o, 9-333p, 9-333q, 9-333r, 9-333s, 9-333t; P.A. 92-246, P.A. 95-188, P.A. 86-99, P.A. 86-240, P.A. 91-351, P.A. 90-230, P.A. 97-5","No",,,"No",,,"No",,"Limited",250,"Per Election",500,,500,"Per Election",1000,,2500,"Per Election",5000,,"Limited",250,"Per Election",500,"Corporate PACs have separate $500 limit",500,"Per Election",1000,"Corporate PACs have separate $1000 limit",2500,"Per Election",5000,"Corporate PACs have separate $5000 limit","No",,,,,,,,,,,,,"Prohibited",0,,0,,0,,0,,0,,0,,"Prohibited",0,,0,,0,,0,,0,,0,,"Unlimited",,,,,,,,,,,,,"Unlimited",,,,,,,,,,,,,"Prohibited",,,,,,,,,,,,,"Yes","Individuals may not contribute more than $15,000 to candidates in any single election cycle","No",,,,,,,"Yes","A lobbyist is someone who makes expenditures, or receives compensation, reimbursement, or both, and such compensation, reimbursement or expenditures are two thousand dollars or more in any calendar year for communicating directly or soliciting others to communicate with any official or his staff in the legislative or executive branch or in a quasi-public agency, for the purpose of influencing any legislative or administrative action","No",,"No",
"CT2004","CT",2004,"CGS §§ 9-333m, 9-333n, 9-333o, 9-333p, 9-333q, 9-333r, 9-333s, 9-333t; P.A. 92-246, P.A. 95-188, P.A. 86-99, P.A. 86-240, P.A. 91-351, P.A. 90-230, P.A. 97-5","No",,,"No",,,"No",,"Limited",250,"Per Election",500,,1000,"Per Election",2000,,3500,"Per Election",7000,,"Limited",250,"Per Election",500,"Corporate PACs have separate $500 limit",1000,"Per Election",2000,"Corporate PACs have separate $1000 limit",3500,"Per Election",5000,"Corporate PACs have separate $5000 limit","No",,,,,,,,,,,,,"Prohibited",0,,0,,0,,0,,0,,0,,"Prohibited",0,,0,,0,,0,,0,,0,,"Unlimited",,,,,,,,,,,,,"Unlimited",,,,,,,,,,,,,"Prohibited",,,,,,,,,,,,,"Yes","Individuals may not contribute more than $15,000 to candidates in any single election cycle","No",,,,,,,"Yes","A lobbyist is someone who makes expenditures, or receives compensation, reimbursement, or both, and such compensation, reimbursement or expenditures are two thousand dollars or more in any calendar year for communicating directly or soliciting others to communicate with any official or his staff in the legislative or executive branch or in a quasi-public agency, for the purpose of influencing any legislative or administrative action","No",,"No",
"DE1996","DE",1996,"67 Del. Laws, c. 449, § 1; 1996 15 Del. C. § 8010","No",,,"No",,,"No",,"Limited",600,"Per Election",1200,,600,"Per Election",1200,,1200,"Per Election",2400,,"Limited",600,"Per Election Cycle",600,,600,"Per Election Cycle",600,,1200,"Per Election Cycle",1200,,"No",,,,,,,,,,,,,"Limited",600,"Per Election",1200,,600,"Per Election",1200,,1200,"Per Election",2400,,"Limited",600,"Per Election",1200,,600,"Per Election",1200,,1200,"Per Election",2400,,"Limited",3000,"Per Election Cycle",3000,,5000,"Per Election Cycle",5000,,75000,"Per Election Cycle",75000,,"Limited","3000","Per Election Cycle","3000",,"5000","Per Election Cycle","5000",,"75000","Per Election Cycle","75000",,"Limited",600,"Per Election",1200,,600,"Per Election",1200,,1200,"Per Election",2400,,"No",,"No",,,,,"No","No","No",,"No",,"No",
"DE1998","DE",1998,"67 Del. Laws, c. 449, § 1; 1998 15 Del. C. § 8010","No",,,"No",,,"No",,"Limited",600,"Per Election",1200,,600,"Per Election",1200,,1200,"Per Election",2400,,"Limited",600,"Per Election Cycle",600,,600,"Per Election Cycle",600,,1200,"Per Election Cycle",1200,,"No",,,,,,,,,,,,,"Limited",600,"Per Election",1200,,600,"Per Election",1200,,1200,"Per Election",2400,,"Limited",600,"Per Election",1200,,600,"Per Election",1200,,1200,"Per Election",2400,,"Limited",3000,"Per Election Cycle",3000,,5000,"Per Election Cycle",5000,,75000,"Per Election Cycle",75000,,"Limited","3000","Per Election Cycle","3000",,"5000","Per Election Cycle","5000",,"75000","Per Election Cycle","75000",,"Limited",600,"Per Election",1200,,600,"Per Election",1200,,1200,"Per Election",2400,,"No",,"No",,,,,"No","No","No",,"No",,"No",
"DE2000","DE",2000,"67 Del. Laws, c. 449, § 1; 2000 15 Del. C. § 8010","No",,,"No",,,"No",,"Limited",600,"Per Election",1200,,600,"Per Election",1200,,1200,"Per Election",2400,,"Limited",600,"Per Election Cycle",600,,600,"Per Election Cycle",600,,1200,"Per Election Cycle",1200,,"No",,,,,,,,,,,,,"Limited",600,"Per Election",1200,,600,"Per Election",1200,,1200,"Per Election",2400,,"Limited",600,"Per Election",1200,,600,"Per Election",1200,,1200,"Per Election",2400,,"Limited",3000,"Per Election Cycle",3000,,5000,"Per Election Cycle",5000,,75000,"Per Election Cycle",75000,,"Limited","3000","Per Election Cycle","3000",,"5000","Per Election Cycle","5000",,"75000","Per Election Cycle","75000",,"Limited",600,"Per Election",1200,,600,"Per Election",1200,,1200,"Per Election",2400,,"No",,"No",,,,,"No","No","No",,"No",,"No",
"DE2002","DE",2002,"67 Del. Laws, c. 449, § 1; 2002 15 Del. C. § 8010","No",,,"No",,,"No",,"Limited",600,"Per Election",1200,,600,"Per Election",1200,,1200,"Per Election",2400,,"Limited",600,"Per Election Cycle",600,,600,"Per Election Cycle",600,,1200,"Per Election Cycle",1200,,"No",,,,,,,,,,,,,"Limited",600,"Per Election",1200,,600,"Per Election",1200,,1200,"Per Election",2400,,"Limited",600,"Per Election",1200,,600,"Per Election",1200,,1200,"Per Election",2400,,"Limited",3000,"Per Election Cycle",3000,,5000,"Per Election Cycle",5000,,75000,"Per Election Cycle",75000,,"Limited","3000","Per Election Cycle","3000",,"5000","Per Election Cycle","5000",,"75000","Per Election Cycle","75000",,"Limited",600,"Per Election",1200,,600,"Per Election",1200,,1200,"Per Election",2400,,"No",,"No",,,,,"No","No","No",,"No",,"No",
"DE2004","DE",2004,"67 Del. Laws, c. 449, § 1; 2004 15 Del. C. § 8010","No",,,"No",,,"No",,"Limited",600,"Per Election",1200,,600,"Per Election",1200,,1200,"Per Election",2400,,"Limited",600,"Per Election Cycle",600,,600,"Per Election Cycle",600,,1200,"Per Election Cycle",1200,,"No",,,,,,,,,,,,,"Limited",600,"Per Election",1200,,600,"Per Election",1200,,1200,"Per Election",2400,,"Limited",600,"Per Election",1200,,600,"Per Election",1200,,1200,"Per Election",2400,,"Limited",3000,"Per Election Cycle",3000,,5000,"Per Election Cycle",5000,,75000,"Per Election Cycle",75000,,"Limited","3000","Per Election Cycle","3000",,"5000","Per Election Cycle","5000",,"75000","Per Election Cycle","75000",,"Limited",600,"Per Election",1200,,600,"Per Election",1200,,1200,"Per Election",2400,,"No",,"No",,,,,"No","No","No",,"No",,"No",
"DE2006","DE",2006,"67 Del. Laws, c. 449, § 1; 2006 15 Del. C. § 8010","No",,,"No",,,"No",,"Limited",600,"Per Election",1200,,600,"Per Election",1200,,1200,"Per Election",2400,,"Limited",600,"Per Election Cycle",600,,600,"Per Election Cycle",600,,1200,"Per Election Cycle",1200,,"No",,,,,,,,,,,,,"Limited",600,"Per Election",1200,,600,"Per Election",1200,,1200,"Per Election",2400,,"Limited",600,"Per Election",1200,,600,"Per Election",1200,,1200,"Per Election",2400,,"Limited",3000,"Per Election Cycle",3000,,5000,"Per Election Cycle",5000,,75000,"Per Election Cycle",75000,,"Limited","3000","Per Election Cycle","3000",,"5000","Per Election Cycle","5000",,"75000","Per Election Cycle","75000",,"Limited",600,"Per Election",1200,,600,"Per Election",1200,,1200,"Per Election",2400,,"No",,"No",,,,,"No","No","No",,"No",,"No",
"DE2008","DE",2008,"67 Del. Laws, c. 449, § 1; 2008 15 Del. C. § 8010","No",,,"No",,,"No",,"Limited",600,"Per Election",1200,,600,"Per Election",1200,,1200,"Per Election",2400,,"Limited",600,"Per Election Cycle",600,,600,"Per Election Cycle",600,,1200,"Per Election Cycle",1200,,"No",,,,,,,,,,,,,"Limited",600,"Per Election",1200,,600,"Per Election",1200,,1200,"Per Election",2400,,"Limited",600,"Per Election",1200,,600,"Per Election",1200,,1200,"Per Election",2400,,"Limited",3000,"Per Election Cycle",3000,,5000,"Per Election Cycle",5000,,75000,"Per Election Cycle",75000,,"Limited","3000","Per Election Cycle","3000",,"5000","Per Election Cycle","5000",,"75000","Per Election Cycle","75000",,"Limited",600,"Per Election",1200,,600,"Per Election",1200,,1200,"Per Election",2400,,"No",,"No",,,,,"No","No","No",,"No",,"No",
"DE2010","DE",2010,"67 Del. Laws, c. 449, § 1; 2010 15 Del. C. § 8010","No",,,"No",,,"No",,"Limited",600,"Per Election",1200,,600,"Per Election",1200,,1200,"Per Election",2400,,"Limited",600,"Per Election Cycle",600,,600,"Per Election Cycle",600,,1200,"Per Election Cycle",1200,,"No",,,,,,,,,,,,,"Limited",600,"Per Election",1200,,600,"Per Election",1200,,1200,"Per Election",2400,,"Limited",600,"Per Election",1200,,600,"Per Election",1200,,1200,"Per Election",2400,,"Limited",3000,"Per Election Cycle",3000,,5000,"Per Election Cycle",5000,,75000,"Per Election Cycle",75000,,"Limited","3000","Per Election Cycle","3000",,"5000","Per Election Cycle","5000",,"75000","Per Election Cycle","75000",,"Limited",600,"Per Election",1200,,600,"Per Election",1200,,1200,"Per Election",2400,,"No",,"No",,,,,"No","No","No",,"No",,"No",
"DE2012","DE",2012,"67 Del. Laws, c. 449, § 1; 2012 15 Del. C. § 8011","No",,,"No",,,"No",,"Limited",600,"Per Election",1200,,600,"Per Election",1200,,1200,"Per Election",2400,,"Limited",600,"Per Election Cycle",600,,600,"Per Election Cycle",600,,1200,"Per Election Cycle",1200,,"No",,,,,,,,,,,,,"Limited",600,"Per Election",1200,,600,"Per Election",1200,,1200,"Per Election",2400,,"Limited",600,"Per Election",1200,,600,"Per Election",1200,,1200,"Per Election",2400,,"Limited",3000,"Per Election Cycle",3000,,5000,"Per Election Cycle",5000,,75000,"Per Election Cycle",75000,,"Limited","3000","Per Election Cycle","3000",,"5000","Per Election Cycle","5000",,"75000","Per Election Cycle","75000",,"Limited",600,"Per Election",1200,,600,"Per Election",1200,,1200,"Per Election",2400,,"No",,"No",,,,,"No","No","No",,"No",,"No",
