Identifier,State,Year,Incident-Specific Disclosure,Incident-Specific Disclosure_Citation,Incident-Specific Disclosure_Explain,Online,Online_Law,Online_Speed_Reqd,Online_Speed_HowFast,Online_Searchable,Online_Searchable_Law,Online_Downloadable,Online_Downloadable_Law,SponsorID,SponsorID_explained,SpecialSponsorID,SpecialSponsorID_Explained,Advertising,AdvertisingExplain,DiscloseToShareholders,DiscloseToSharegolders_Citation,DiscloseToShareholders_Explained
"AK2016","AK",2016,,,,"No",,,,,,,,"Yes","All advertisements, billboards, handbills, paid-for television and radio announcements and other communications intended to influence the election of a candidate or outcome of a ballot proposition or question shall be clearly identified by the words ""paid for by"" followed by the name and address of the candidate, group or individual paying for the advertising. In addition, candidates and groups must identify the name of their campaign chairman.

All communications shall be clearly identified by the words ""paid for by"" followed by the name and address of the person paying for the communication. In addition, except as provided by (d) of this section, a person shall clearly

o (1)  provide the person's address or the person's principal place of business;

o (2)  for a person other than an individual or candidate, include

(A)  the name and title of the person's principal officer;
(B)  a statement from the principal officer approving the communication; and
(C)  identification of the name and city and state of residence or principal place of business, as  applicable, of each of the person's three largest contributors under AS 15.13.040(e)(5), if any, during the 12-month period before the date of the communication.

The inclusion of the three largest contributors  is not required if the person paying for the communication has no contributors or is a political party.",,,,,,,
"AL1996","AL",1996,,,,"No",,,,,,,,"No",,"No",,"No",,"No",,
"AL1998","AL",1998,,,,"No",,,,,,,,"No",,"No",,"No",,"No",,
"AL2000","AL",2000,,,,"No",,,,,,,,"No",,"No",,"No",,"No",,
"AL2002","AL",2002,,,,"No",,,,,,,,"No",,"No",,"No",,"No",,
"AL2004","AL",2004,,,,"No",,,,,,,,"No",,"No",,"No",,"No",,
"AL2006","AL",2006,,,,"No",,,,,,,,"No",,"No",,"No",,"No",,
"AL2008","AL",2008,,,,"No",,,,,,,,"No",,"No",,"No",,"No",,
"AL2010","AL",2010,,,,"No",,,,,,,,"No",,"No",,"No",,"No",,
"AL2012","AL",2012,,,,"No",,,,,,,,"Yes","Any paid political advertisement appearing in any print media or broadcast on any electronic media shall be clearly identified or marked as a paid political advertisement and provide the identification required by Section 17-5-2(a)(5). It shall be unlawful for any person, candidate, principal campaign committee or political action committee to broadcast, publish, or circulate any campaign literature or political advertisement, without a notice appearing on the face or front page of any printed matter, or broadcast at the beginning or end of a radio or television spot, stating that the communication was a paid political advertisement and giving the identification of the person, principal campaign committee, or political action committee that paid for or otherwise authorized such communication.","Yes","Any paid political advertisement or electioneering communication appearing in any print media or broadcast on any electronic media shall clearly and distinctly identify the entity responsible for paying for the advertisement or electioneering communication. It shall be unlawful for any person, nonprofit corporation, entity, candidate, principal campaign committee, nonprofit corporation, entity, or other political action committee to broadcast, publish, or circulate any campaign literature, political advertisement, or electioneering communication without a notice appearing on the printed matter with a clear and unmistakable identification of the entity responsible for directly paying for the advertisement or electioneering communication, or on the broadcast at the beginning, during, or end of a radio or television spot, stating that the communication was a paid advertisement, clearly identifying the entity directly responsible for paying for the advertisement or electioneering communication, and giving the identification of the person, nonprofit corporation, entity, principal campaign committee, or political action committee or entity that paid for such communication.","Yes","It shall be unlawful for any person, candidate, principal campaign committee, or political action committee to publish or distribute or display, or cause to be published or distributed or displayed, any card, pamphlet, circular, poster, or other printed material relating to or concerning any election, which does not contain the identification required by Section 17-5-2(a)(5) of the person, candidate, principal campaign committee, or political action committee responsible for the publication or distribution or display of the same.","No",,
"AL2014","AL",2014,,,,"Yes","Yes","No","NA","Yes","Yes","NA","NA","Yes","Any paid political advertisement appearing in any print media or broadcast on any electronic media shall be clearly identified or marked as a paid political advertisement and provide the identification required by Section 17-5-2(a)(5). It shall be unlawful for any person, candidate, principal campaign committee or political action committee to broadcast, publish, or circulate any campaign literature or political advertisement, without a notice appearing on the face or front page of any printed matter, or broadcast at the beginning or end of a radio or television spot, stating that the communication was a paid political advertisement and giving the identification of the person, principal campaign committee, or political action committee that paid for or otherwise authorized such communication.","Yes","Any paid political advertisement or electioneering communication appearing in any print media or broadcast on any electronic media shall clearly and distinctly identify the entity responsible for paying for the advertisement or electioneering communication. It shall be unlawful for any person, nonprofit corporation, entity, candidate, principal campaign committee, nonprofit corporation, entity, or other political action committee to broadcast, publish, or circulate any campaign literature, political advertisement, or electioneering communication without a notice appearing on the printed matter with a clear and unmistakable identification of the entity responsible for directly paying for the advertisement or electioneering communication, or on the broadcast at the beginning, during, or end of a radio or television spot, stating that the communication was a paid advertisement, clearly identifying the entity directly responsible for paying for the advertisement or electioneering communication, and giving the identification of the person, nonprofit corporation, entity, principal campaign committee, or political action committee or entity that paid for such communication.","Yes","It shall be unlawful for any person, candidate, principal campaign committee, or political action committee to publish or distribute or display, or cause to be published or distributed or displayed, any card, pamphlet, circular, poster, or other printed material relating to or concerning any election, which does not contain the identification required by Section 17-5-2(a)(5) of the person, candidate, principal campaign committee, or political action committee responsible for the publication or distribution or display of the same.","No",,
"AL2016","AL",2016,,,,,,,,,,,,,,,,,,,,
"AR1996","AR",1996,,,,"No",,,,,,,,"Yes","Arkansas Code Annotated 7-1-103(8): Unless the statement, communication, advertisement, circular, pamphlet, form letter, mimeographed, printed, duplicated, or other similar matter plainly bears the name or names and post office addresses of the individuals, firms, committees, or other group or groups sponsoring and bearing the cost, no statement, communication, or advertisement of a political nature may be published in a newspaper or other periodical within the State of Arkansas, and no circular, pamphlet, letter, form letter, statement, advertisement, or other similar matter of a political nature, may be printed or distributed in this state. If the sponsors thereof are not the same persons, groups, committees, or organizations bearing the cost thereof, then the names of both the sponsor and those bearing the cost shall plainly appear upon the advertising matter. If the sponsor, or those bearing the cost thereof, are a group, committee, association, council, or other body, then the names of the three (3) principal officers of the sponsoring or paying groups, committees, associations, councils, or other bodies, together with the correct post office address of each, shall also be printed thereon","No",,"No",,"No",,
"AR1998","AR",1998,,,,"No",,,,,,,,"No","Arkansas Code Annotated 7-1-103(a)(7) - All articles, statements, or communications appearing in any newspaper printed or
circulated in this state, or radio, television or any other electronic media intended or
calculated to influence the vote of any elector in any election, and for the publication of
which a consideration is paid, or to be paid, shall be preceded or followed by the words
²Paid Political Advertisement² or ²Paid Political Ad² in conspicuous letters;","No",,"No",,"No",,
"AR2000","AR",2000,,,,"No",,,,,,,,"No","Arkansas Code Annotated 7-1-103(a)(7) - All articles, statements, or communications appearing in any newspaper printed or
circulated in this state, or radio, television or any other electronic media intended or
calculated to influence the vote of any elector in any election, and for the publication of
which a consideration is paid, or to be paid, shall be preceded or followed by the words
²Paid Political Advertisement² or ²Paid Political Ad² in conspicuous letters;","No",,"No",,"No",,
"AR2002","AR",2002,,,,"No",,,,,,,,"No","Arkansas Code Annotated 7-1-103(a)(7) - All articles, statements, or communications appearing in any newspaper printed or
circulated in this state, or radio, television or any other electronic media intended or
calculated to influence the vote of any elector in any election, and for the publication of
which a consideration is paid, or to be paid, shall be preceded or followed by the words
²Paid Political Advertisement² or ²Paid Political Ad² in conspicuous letters;","No",,"No",,"No",,
"AR2004","AR",2004,,,,"No",,,,,,,,"No","Arkansas Code Annotated 7-1-103(a)(7) - All articles, statements, or communications appearing in any newspaper printed or
circulated in this state, or radio, television or any other electronic media intended or
calculated to influence the vote of any elector in any election, and for the publication of
which a consideration is paid, or to be paid, shall be preceded or followed by the words
²Paid Political Advertisement² or ²Paid Political Ad² in conspicuous letters;","No",,"No",,"No",,
"AR2006","AR",2006,,,,"No",,,,,,,,"No","Arkansas Code Annotated 7-1-103(a)(7) - All articles, statements, or communications appearing in any newspaper printed or
circulated in this state, or radio, television or any other electronic media intended or
calculated to influence the vote of any elector in any election, and for the publication of
which a consideration is paid, or to be paid, shall be preceded or followed by the words
²Paid Political Advertisement² or ²Paid Political Ad² in conspicuous letters;","No",,"No",,"No",,
"AR2008","AR",2008,,,,"No",,,,,,,,"No","Arkansas Code Annotated 7-1-103(a)(7) - All articles, statements, or communications appearing in any newspaper printed or
circulated in this state, or radio, television or any other electronic media intended or
calculated to influence the vote of any elector in any election, and for the publication of
which a consideration is paid, or to be paid, shall be preceded or followed by the words
²Paid Political Advertisement² or ²Paid Political Ad² in conspicuous letters;","No",,"No",,"No",,
"AR2010","AR",2010,,,,"No",,,,,,,,"No","Arkansas Code Annotated 7-1-103(a)(7) - All articles, statements, or communications appearing in any newspaper printed or
circulated in this state, or radio, television or any other electronic media intended or
calculated to influence the vote of any elector in any election, and for the publication of
which a consideration is paid, or to be paid, shall be preceded or followed by the words
²Paid Political Advertisement² or ²Paid Political Ad² in conspicuous letters;","No",,"No",,"No",,
"AR2012","AR",2012,,,,"No",,,,,,,,"No","Arkansas Code Annotated 7-1-103(a)(7) - All articles, statements, or communications appearing in any newspaper printed or
circulated in this state, or radio, television or any other electronic media intended or
calculated to influence the vote of any elector in any election, and for the publication of
which a consideration is paid, or to be paid, shall be preceded or followed by the words
²Paid Political Advertisement² or ²Paid Political Ad² in conspicuous letters;","No",,"No",,"No",,
"AR2014","AR",2014,,,,"No",,,,,,,,"No","Arkansas Code Annotated 7-1-103(a)(7) - All articles, statements, or communications appearing in any newspaper printed or
circulated in this state, or radio, television or any other electronic media intended or
calculated to influence the vote of any elector in any election, and for the publication of
which a consideration is paid, or to be paid, shall be preceded or followed by the words
²Paid Political Advertisement² or ²Paid Political Ad² in conspicuous letters;","No",,"No",,"No",,
"AR2016","AR",2016,,,,,,,,,,,,,,,,,,,,
"AZ1996","AZ",1996,,,,"No",,,,,,,,"Yes","If authorized by a candidate, the literature or advertisement shall clearly state that it was paid for by the candidate. If not authorized by a candidate, the literature or advertisement shall clearly state the name of the political committee that paid for it, the name of the chairman of the political committee, a telephone number where that individual can be contacted, and that the advertisement or literature is not authorized by any candidate.","Changed mid-cycle","In addition to the above disclosure requirements, independent expenditures shall include on the literature or advertisement the names and telephone numbers of the two political committees making the largest contributions to the political committee making the independent expenditure. For purposes of determining the two contributors to be disclosed, the contributions of each political committee to the political committee making the independent expenditure during the one year period before the election being affected are aggregated.

For communications relating to ballot initiatives the law prior to 1996 required the communications include a disclosure of all ""major funding sources"". As of 1996 the new law requies disclosure of only the four largest funding sources. Contributions by corporations, labor unions, industries or persons to multiple committees should be aggregated for the purposes of determining the major funding sources. (This was in 19-128 which was renumbered 16-912.01. Because of this renumbering, archived 1995 or 1996 versions of this law are not available on LexisNexis or Westlaw).","Yes","A political committee that makes independent expenditures for literature or an advertisement relating to any one candidate or office within ten days before the day of any election to which the expenditures relate, shall send a copy of the campaign literature or advertisement to each candidate referred to 24 hours before depositing it at the post office for mailing, 24 hours before submitting it to a telecommunications system for broadcast or 24 hours before submitting it to a newspaper for printing.","No",,
"AZ1998","AZ",1998,,,,"No",,,,,,,,"Yes","If authorized by a candidate, the literature or advertisement shall clearly state that it was paid for by the candidate. If not authorized by a candidate, the literature or advertisement shall clearly state the name of the political committee that paid for it, the name of the chairman of the political committee, a telephone number where that individual can be contacted, and that the advertisement or literature is not authorized by any candidate.","Changed mid-cycle","In addition to the above disclosure requirements, independent expenditures shall include on the literature or advertisement the names and telephone numbers of the three individuals or political committees making the largest contributions to the political committee making the independent expenditure. For purposes of determining the three contributors to be disclosed, the contributions of each political committee to the political committee making the independent expenditure during the one year period before the election being affected are aggregated.

For communications relating to ballot initiatives the law prior to 1996 required the communications include a disclosure of all ""major funding sources"". As of 1996 the new law requies disclosure of only the four largest funding sources. Contributions by corporations, labor unions, industries or persons to multiple committees should be aggregated for the purposes of determining the major funding sources. (This was in 19-128 which was renumbered 16-912.01. Because of this renumbering, archived 1995 or 1996 versions of this law are not available on LexisNexis or Westlaw).","Yes","A political committee that makes independent expenditures for literature or an advertisement relating to any one candidate or office within ten days before the day of any election to which the expenditures relate, shall send a copy of the campaign literature or advertisement to each candidate referred to 24 hours before depositing it at the post office for mailing, 24 hours before submitting it to a telecommunications system for broadcast or 24 hours before submitting it to a newspaper for printing.","No",,
"AZ2000","AZ",2000,,,,"No","Yes","No",,"Yes","No","Yes","No","Yes","If authorized by a candidate, the literature or advertisement shall clearly state that it was paid for by the candidate. If not authorized by a candidate, the literature or advertisement shall clearly state the name of the political committee that paid for it, the name of the chairman of the political committee, a telephone number where that individual can be contacted, and that the advertisement or literature is not authorized by any candidate.","Yes","In addition to the above disclosure requirements, independent expenditures shall include on the literature or advertisement the names and telephone numbers of the three individuals or political committees making the largest contributions to the political committee making the independent expenditure. For purposes of determining the three contributors to be disclosed, the contributions of each political committee to the political committee making the independent expenditure during the one year period before the election being affected are aggregated.

For communications relating to ballot initiatives the law prior to 1996 required the communications include a disclosure of all ""major funding sources"". As of 1996 the new law requies disclosure of only the four largest funding sources. Contributions by corporations, labor unions, industries or persons to multiple committees should be aggregated for the purposes of determining the major funding sources. (This was in 19-128 which was renumbered 16-912.01. Because of this renumbering, archived 1995 or 1996 versions of this law are not available on LexisNexis or Westlaw).","Yes","A political committee that makes independent expenditures for literature or an advertisement relating to any one candidate or office within ten days before the day of any election to which the expenditures relate, shall send a copy of the campaign literature or advertisement to each candidate referred to 24 hours before depositing it at the post office for mailing, 24 hours before submitting it to a telecommunications system for broadcast or 24 hours before submitting it to a newspaper for printing.","No",,
"AZ2002","AZ",2002,,,,"No","Yes","No",,"Yes","No","Yes","No","Changed mid-cycle","If authorized by a candidate, the literature or advertisement shall clearly state that it was ""PAID FOR BY"" followed by the name of the political committee appearing on the statement of organization. If not authorized by a candidate, the literature or advertisement shall clearly state the name of the political committee that paid for it, the name of the chairman of the political committee, a telephone number where that individual can be contacted, and that the advertisement or literature is not authorized by any candidate.","Changed mid-cycle","In addition to the above disclosure requirements, independent expenditures shall include on the literature or advertisement the names and telephone numbers of the three political committees making the largest contributions to the political committee making the independent expenditure. For purposes of determining the three contributors to be disclosed, the contributions of each political committee to the political committee making the independent expenditure during the one year period before the election being affected are aggregated.

For communications relating to ballot initiatives, advertisements must disclose the four largest contributors to the political committee if a) The political subdivision has a population of 100,000 or more and the contribution exceeds $10,000; or b) The political subdivision has a population less than 100,000 and the contribution exceeds $5,000.","Yes","A political committee that makes independent expenditures for literature or an advertisement relating to any one candidate or office within ten days before the day of any election to which the expenditures relate, shall send a copy of the campaign literature or advertisement to each candidate referred to 24 hours before depositing it at the post office for mailing, 24 hours before submitting it to a telecommunications system for broadcast or 24 hours before submitting it to a newspaper for printing.","No",,
"AZ2004","AZ",2004,,,,"No","Yes","No",,"Yes","No","Yes","No","Changed mid-cycle","If authorized by a candidate, the literature or advertisement shall clearly state that it was ""PAID FOR BY"" followed by the name of the political committee appearing on the statement of organization. If not authorized by a candidate, the literature or advertisement shall clearly state the name of the political committee that paid for it, the name of the chairman of the political committee, a telephone number where that individual can be contacted, and that the advertisement or literature is not authorized by any candidate.","Changed mid-cycle","In addition to the above disclosure requirements, independent expenditures shall include on the literature or advertisement the names and telephone numbers of the three political committees making the largest contributions to the political committee making the independent expenditure. For purposes of determining the three contributors to be disclosed, the contributions of each political committee to the political committee making the independent expenditure during the one year period before the election being affected are aggregated.

For communications relating to ballot initiatives, advertisements must disclose the four largest contributors to the political committee if a) The political subdivision has a population of 100,000 or more and the contribution exceeds $10,000; or b) The political subdivision has a population less than 100,000 and the contribution exceeds $5,000.","Inoperative mid-cycle","Arizona Right to Life Political Action Committee v. Bayless, 320 F.3d 1002 (9th Cir. 2003) struck down 16-917(a) which required political committees making independent expenditures within ten days of an election to provide a copy of the expenditure before its publication.","No",,
"AZ2006","AZ",2006,,,,"No","Yes","No",,"Yes","No","Yes","No","Yes","If authorized by a candidate, the literature or advertisement shall clearly state that it was ""PAID FOR BY"" followed by the name of the political committee appearing on the statement of organization. If not authorized by a candidate, the literature or advertisement shall clearly state the name of the political committee that paid for it, the name of the chairman of the political committee, a telephone number where that individual can be contacted, and that the advertisement or literature is not authorized by any candidate.","Yes","In addition to the above disclosure requirements, independent expenditures shall include on the literature or advertisement the names and telephone numbers of the three political committees making the largest contributions to the political committee making the independent expenditure. For purposes of determining the three contributors to be disclosed, the contributions of each political committee to the political committee making the independent expenditure during the one year period before the election being affected are aggregated.

For communications relating to ballot initiatives, advertisements must disclose the four largest contributors to the political committee if a) The political subdivision has a population of 100,000 or more and the contribution exceeds $10,000; or b) The political subdivision has a population less than 100,000 and the contribution exceeds $5,000.","Changed mid-cycle","A political committee making independent expenditures relating to one candidate must send a copy of the expenditure to each candidate named or referred to in the expenditure 24 hours after submitting the advertisement or literature to the publishing entity or mailing it.","No",,
"AZ2008","AZ",2008,,,,"No","Yes","No",,"Yes","No","Yes","No","Yes","If authorized by a candidate, the literature or advertisement shall clearly state that it was ""PAID FOR BY"" followed by the name of the political committee appearing on the statement of organization. If not authorized by a candidate, the literature or advertisement shall clearly state the name of the political committee that paid for it, the name of the chairman of the political committee, a telephone number where that individual can be contacted, and that the advertisement or literature is not authorized by any candidate.","Yes","In addition to the above disclosure requirements, independent expenditures shall include on the literature or advertisement the names and telephone numbers of the three political committees making the largest contributions to the political committee making the independent expenditure. For purposes of determining the three contributors to be disclosed, the contributions of each political committee to the political committee making the independent expenditure during the one year period before the election being affected are aggregated.

For communications relating to ballot initiatives, advertisements must disclose the four largest contributors to the political committee if a) The political subdivision has a population of 100,000 or more and the contribution exceeds $10,000; or b) The political subdivision has a population less than 100,000 and the contribution exceeds $5,000.","Yes","A political committee making independent expenditures relating to one candidate must send a copy of the expenditure to each candidate named or referred to in the expenditure 24 hours after submitting the advertisement or literature to the publishing entity or mailing it.","No",,
"AZ2010","AZ",2010,,,,"No","Yes","No",,"Yes","No","Yes","No","Yes","If authorized by a candidate, the literature or advertisement shall clearly state that it was ""PAID FOR BY"" followed by the name of the political committee appearing on the statement of organization. If not authorized by a candidate, the literature or advertisement shall clearly state the name of the political committee that paid for it, the name of the chairman of the political committee, a telephone number where that individual can be contacted, and that the advertisement or literature is not authorized by any candidate.","Yes","In addition to the above disclosure requirements, independent expenditures shall include on the literature or advertisement the names and telephone numbers of the three political committees making the largest contributions to the political committee making the independent expenditure. For purposes of determining the three contributors to be disclosed, the contributions of each political committee to the political committee making the independent expenditure during the one year period before the election being affected are aggregated.

For communications relating to ballot initiatives, advertisements must disclose the four largest contributors to the political committee if a) The political subdivision has a population of 100,000 or more and the contribution exceeds $10,000; or b) The political subdivision has a population less than 100,000 and the contribution exceeds $5,000.","Yes","A political committee making independent expenditures relating to one candidate must send a copy of the expenditure to each candidate named or referred to in the expenditure 24 hours after submitting the advertisement or literature to the publishing entity or mailing it.","No",,
"AZ2012","AZ",2012,,,,"No","Yes","No",,"Yes","No","Yes","No","Yes","If authorized by a candidate, the literature or advertisement shall clearly state that it was ""PAID FOR BY"" followed by the name of the political committee appearing on the statement of organization. If not authorized by a candidate, the literature or advertisement shall clearly state the name of the political committee that paid for it, the name of the chairman of the political committee, a telephone number where that individual can be contacted, and that the advertisement or literature is not authorized by any candidate.","Yes","In addition to the above disclosure requirements, independent expenditures shall include on the literature or advertisement the names and telephone numbers of the three political committees making the largest contributions to the political committee making the independent expenditure. For purposes of determining the three contributors to be disclosed, the contributions of each political committee to the political committee making the independent expenditure during the one year period before the election being affected are aggregated.

For communications relating to ballot initiatives, advertisements must disclose the four largest contributors to the political committee if a) The political subdivision has a population of 100,000 or more and the contribution exceeds $10,000; or b) The political subdivision has a population less than 100,000 and the contribution exceeds $5,000.","Changed mid-cycle","A political committee, CORPORATION, LIMITED LIABILITY COMPANY OR  LABOR ORGANIZATION that makes independent expenditures for literature or an advertisement relating to any one candidate or office within sixty days before the day of any election to which the expenditures relate, shall send by certified mail a copy of the campaign literature or advertisement to each candidate named or otherwise referred to in the literature or advertisement twenty-four hours after depositing it at the post office for mailing, twenty-four hours after submitting it to a telecommunications system for broadcast or twenty-four hours after submitting it to a newspaper for printing.","No",,
"AZ2014","AZ",2014,,,,"No","Yes","No",,"Yes","No","Yes","No","Yes","If authorized by a candidate, the literature or advertisement shall clearly state that it was ""PAID FOR BY"" followed by the name of the political committee appearing on the statement of organization. If not authorized by a candidate, the literature or advertisement shall clearly state the name of the political committee that paid for it, the name of the chairman of the political committee, a telephone number where that individual can be contacted, and that the advertisement or literature is not authorized by any candidate.","Changed mid-cycle","In addition to the above disclosure requirements, independent expenditures shall include on the literature or advertisement the names and telephone numbers of the three political committees making the largest contributions to the political committee making the independent expenditure. For purposes of determining the three contributors to be disclosed, the contributions of each political committee to the political committee making the independent expenditure during the calendar year of the expenditure are aggregated.

For communications relating to ballot initiatives, advertisements must disclose the four largest contributors to the political committee if a) The political subdivision has a population of 100,000 or more and the contribution exceeds $10,000; or b) The political subdivision has a population less than 100,000 and the contribution exceeds $5,000.","Yes","A political committee, CORPORATION, LIMITED LIABILITY COMPANY OR  LABOR ORGANIZATION that makes independent expenditures for literature or an advertisement relating to any one candidate or office within sixty days before the day of any election to which the expenditures relate, shall send by certified mail a copy of the campaign literature or advertisement to each candidate named or otherwise referred to in the literature or advertisement twenty-four hours after depositing it at the post office for mailing, twenty-four hours after submitting it to a telecommunications system for broadcast or twenty-four hours after submitting it to a newspaper for printing.","No",,
"AZ2016","AZ",2016,,,,,,,,,,,,,,,,,,,,
"CA1996","CA",1996,,,,"No","No",,,"No","No","No",,"Yes","Mass mailings must include the name, street address, and city of the candidate or committee on the outside of each piece of mail and on at least one of the inserts included within each piece of the mailing in no less than 6-point type and in a color or print which contrasts with the background. 

For single candidates or committees: the name, street address, and city of the candidate or committee need only be shown on the outside of each piece of mail.

For controlled committee: the name of the person controlling the committee shall be included in addition","No",,"No",,"No",,
"CA1998","CA",1998,,,,"No","No",,,"No","No","No",,"Yes","Mass mailings must include the name, street address, and city of the candidate or committee on the outside of each piece of mail and on at least one of the inserts included within each piece of the mailing in no less than 6-point type and in a color or print which contrasts with the background. 

For single candidates or committees: the name, street address, and city of the candidate or committee need only be shown on the outside of each piece of mail.

For controlled committee: the name of the person controlling the committee shall be included in addition","No",,"No",,"No",,
"CA2000","CA",2000,,,,"Yes","Yes","Yes","Late contribution reports must be available within 24 hours","No","No","No","No","Yes","Mass mailings must include the name, street address, and city of the candidate or committee on the outside of each piece of mail and on at least one of the inserts included within each piece of the mailing in no less than 6-point type and in a color or print which contrasts with the background. 

For single candidates or committees: the name, street address, and city of the candidate or committee need only be shown on the outside of each piece of mail.

For controlled committee: the name of the person controlling the committee shall be included in addition","No",,"No",,"No",,
