Identifier,State,Year,PublicFunding_Citation,PublicFunding_H,PublicFunding_H_type,PublicFunding_H_explain,Public Funding_H_Qualifying,PublicFunding_H_SpendLimit,PublicFunding_H_SpendLimit_Amount,PublicFunding_H_OtherConditions,PublicFunding_H_OtherConditions_Explained,PublicFunding_H_Trigger,PublicFunding_H_TriggerExplained,PublicFunding_H_Max,PublicFunding_H_Solicitation-by-Cand_Party,PublicFunding_H_Solicitation-by-Cand_Non-Party,PublicFunding_S,PublicFunding_S_type,PublicFunding_S_explain,Public Funding_S_Qualifying,PublicFunding_S_SpendLimit,PublicFunding_S_SpendLimit_Amount,PublicFunding_S_OtherConditions,PublicFunding_S_OtherConditions_Explained,PublicFunding_S_Trigger,PublicFunding_S_TriggerExplained,PublicFunding_S_Max,PublicFunding_S_Solicitation-by-Cand_Party,PublicFunding_S_Solicitation-by-Cand_Non-Party,PublicFunding_G,PublicFunding_G_type,PublicFunding_G_explain,Public Funding_G_Qualifying,PublicFunding_G_SpendLimit,PublicFunding_G_SpendLimit_Amount,PublicFunding_G_OtherConditions,PublicFunding_G_OtherConditions_Explained,PublicFunding_G_Trigger,PublicFunding_G_TriggerExplained,PublicFunding_G_Max,PublicFunding_G_Solicitation-by-Cand_Party,PublicFunding_G_Solicitation-by-Cand_Non-Party,PublicFunding_J,PublicFunding_J_type,PublicFunding_J_explain,Public Funding_J_Qualifying,PublicFunding_J_SpendLimit,PublicFunding_J_SpendLimit_Amount,PublicFunding_J_OtherConditions,PublicFunding_J_OtherConditions_Explained,PublicFunding_J_Trigger,PublicFunding_J_TriggerExplained,PublicFunding_J_Max,PublicFunding_J_Solicitation-by-Cand_Party,PublicFunding_J_Solicitation-by-Cand_Non-Party,PublicFunding_P,PublicFunding_P_Eligibility,PublicFunding_P_Formula,PublicFunding_P_TwoYrMax,SurchargePF,TaxCheckoffPF,DonatedPF,FilingRegFeesPF,FinesPF,GrantPF,UnexpendedPF,OtherPF,OtherPFExplain,SourcesofFunds,SpendingLimits_Other,SpendingLimits_Other_Explained
"IL2000","IL",2000,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,,,,,,,,,,,,,,"No",,,,,"IL",,,,,,,,,,
"IL2014","IL",2014,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,,,,,,,,,,,,,,"No",,,,,"IL",,,,,,,,,,
"IL1998","IL",1998,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,,,,,,,,,,,,,,"No",,,,,"IL",,,,,,,,,,
"IL1996","IL",1996,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,,,,,,,,,,,,,,"No",,,,,,,,,,,,,,,
"ME2010","ME",2010,"21-A M.R.S. § 1123, 21-A M.R.S. § 1125","Yes","Full Public Financing","Verified registered voters of this State must support the candidacy by providing a qualifying contribution to that candidate.","50 registered voters in the electoral division providing qualifying contribution .
     50 verified registered voters from the candidate's electoral division
     must support the candidacy by providing a qualifying contribution to
     that candidate.","Yes","500","No",,"Yes","When any campaign, finance or election report shows that the sum of a candidate's expenditures or obligations, or funds raised or borrowed, whichever is greater, alone or in conjunction with independent expenditures reported under section 1019, exceeds the distribution amount under subsection 8, the commission shall issue immediately to any opposing Maine Clean Election Act candidate an additional amount equivalent to the reported excess. Matching funds are limited to 2 times the amount originally distributed under subsection 8, paragraph A or C, whichever is applicable.",,"No","No","Yes","Full Public Financing","Verified registered voters of this State must support the candidacy by providing a qualifying contribution to that candidate.","150 registered voters in the electoral division providing a qualifying contribution.","Yes","1500","No",,"Yes","When any campaign, finance or election report shows that the sum of a candidate's expenditures or obligations, or funds raised or borrowed, whichever is greater, alone or in conjunction with independent expenditures reported under section 1019, exceeds the distribution amount under subsection 8, the commission shall issue immediately to any opposing Maine Clean Election Act candidate an additional amount equivalent to the reported excess. Matching funds are limited to 2 times the amount originally distributed under subsection 8, paragraph A or C, whichever is applicable.",,"No","No","Yes","Full Public Financing","Verified registered voters of this State must support the candidacy by providing a qualifying contribution to that candidate.","3,250 registered state voters provide a qualifying contribution.","Yes","50000","No",,"Yes","When any campaign, finance or election report shows that the sum of a candidate's expenditures or obligations, or funds raised or borrowed, whichever is greater, alone or in conjunction with independent expenditures reported under section 1019, exceeds the distribution amount under subsection 8, the commission shall issue immediately to any opposing Maine Clean Election Act candidate an additional amount equivalent to the reported excess. Matching funds are limited to 2 times the amount originally distributed under subsection 8, paragraph A or C, whichever is applicable.",,"No","No",,,,,,,,,,,,,,"Yes","NA","NA","NA",,"ME",,,,,,,,,,
"ME2006","ME",2006,"21-A M.R.S. § 1123, 21-A M.R.S. § 1125","Yes","Full Public Financing","Verified registered voters of this State must support the candidacy by providing a qualifying contribution to that candidate.","50 registered voters in the electoral division providing qualifying contribution .
     50 verified registered voters from the candidate's electoral division
     must support the candidacy by providing a qualifying contribution to
     that candidate.","Yes","500","No",,"Yes","When any campaign, finance or election report shows that the sum of a candidate's expenditures or obligations, or funds raised or borrowed, whichever is greater, alone or in conjunction with independent expenditures reported under section 1019, exceeds the distribution amount under subsection 8, the commission shall issue immediately to any opposing Maine Clean Election Act candidate an additional amount equivalent to the reported excess. Matching funds are limited to 2 times the amount originally distributed under subsection 8, paragraph A or C, whichever is applicable.",,"No","No","Yes","Full Public Financing","Verified registered voters of this State must support the candidacy by providing a qualifying contribution to that candidate.","150 registered voters in the electoral division providing a qualifying contribution.","Yes","1500","No",,"Yes","When any campaign, finance or election report shows that the sum of a candidate's expenditures or obligations, or funds raised or borrowed, whichever is greater, alone or in conjunction with independent expenditures reported under section 1019, exceeds the distribution amount under subsection 8, the commission shall issue immediately to any opposing Maine Clean Election Act candidate an additional amount equivalent to the reported excess. Matching funds are limited to 2 times the amount originally distributed under subsection 8, paragraph A or C, whichever is applicable.",,"No","No","Yes","Full Public Financing","Verified registered voters of this State must support the candidacy by providing a qualifying contribution to that candidate.","2,500 registered state voters provide a qualifying contribution.","Yes","50000","No",,"Yes","When any campaign, finance or election report shows that the sum of a candidate's expenditures or obligations, or funds raised or borrowed, whichever is greater, alone or in conjunction with independent expenditures reported under section 1019, exceeds the distribution amount under subsection 8, the commission shall issue immediately to any opposing Maine Clean Election Act candidate an additional amount equivalent to the reported excess. Matching funds are limited to 2 times the amount originally distributed under subsection 8, paragraph A or C, whichever is applicable.",,"No","No",,,,,,,,,,,,,,"Yes","NA","NA","NA",,"ME",,,,,,,,,,
"ME2012","ME",2012,"21-A M.R.S. § 1123, 21-A M.R.S. § 1125","Yes","Full Public Financing","Verified registered voters of this State must support the candidacy by providing a qualifying contribution to that candidate.","60 registered voters in the electoral division provide a qualifying contribution.
     50 verified registered voters from the candidate's electoral division
     must support the candidacy by providing a qualifying contribution to
     that candidate.","Yes","500","No",,"Yes","################",,"No","No","Yes","Full Public Financing","Verified registered voters of this State must support the candidacy by providing a qualifying contribution to that candidate.","175 registered voters in the electoral division provide a qualifying contribution .","Yes","1500","No",,"Yes","################",,"No","No","Yes","Full Public Financing","Verified registered voters of this State must support the candidacy by providing a qualifying contribution to that candidate.","3,250 registered state voters provide a qualifying contribution.","Yes","200000","No",,"No",,,"No","No",,,,,,,,,,,,,,"Yes","NA","NA","NA",,"ME",,,,,,,,,,
"ME2004","ME",2004,"21-A M.R.S. § 1123, 21-A M.R.S. § 1125","Yes","Full Public Financing","Verified registered voters of this State must support the candidacy by providing a qualifying contribution to that candidate.","50 registered voters in the electoral division providing qualifying contribution .
     50 verified registered voters from the candidate's electoral division
     must support the candidacy by providing a qualifying contribution to
     that candidate.","Yes","500","No",,"Yes","When any campaign, finance or election report shows that the sum of a candidate's expenditures or obligations, or funds raised or borrowed, whichever is greater, alone or in conjunction with independent expenditures reported under section 1019, exceeds the distribution amount under subsection 8, the commission shall issue immediately to any opposing Maine Clean Election Act candidate an additional amount equivalent to the reported excess. Matching funds are limited to 2 times the amount originally distributed under subsection 8, paragraph A or C, whichever is applicable.",,"No","No","Yes","Full Public Financing","Verified registered voters of this State must support the candidacy by providing a qualifying contribution to that candidate.","150 registered voters in the electoral division providing a qualifying contribution.","Yes","1500","No",,"Yes","When any campaign, finance or election report shows that the sum of a candidate's expenditures or obligations, or funds raised or borrowed, whichever is greater, alone or in conjunction with independent expenditures reported under section 1019, exceeds the distribution amount under subsection 8, the commission shall issue immediately to any opposing Maine Clean Election Act candidate an additional amount equivalent to the reported excess. Matching funds are limited to 2 times the amount originally distributed under subsection 8, paragraph A or C, whichever is applicable.",,"No","No","Yes","Full Public Financing","Verified registered voters of this State must support the candidacy by providing a qualifying contribution to that candidate.","2,500 registered state voters provide a qualifying contribution.","Yes","50000","No",,"Yes","When any campaign, finance or election report shows that the sum of a candidate's expenditures or obligations, or funds raised or borrowed, whichever is greater, alone or in conjunction with independent expenditures reported under section 1019, exceeds the distribution amount under subsection 8, the commission shall issue immediately to any opposing Maine Clean Election Act candidate an additional amount equivalent to the reported excess. Matching funds are limited to 2 times the amount originally distributed under subsection 8, paragraph A or C, whichever is applicable.",,"No","No",,,,,,,,,,,,,,"Yes","NA","NA","NA",,"ME",,,,,,,,,,
"ME2016","ME",2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ME2018","ME",2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ME2020","ME",2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ME1996","ME",1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,"No",,,,,,,,,,,,,,,,,,,,,,,,,,"Yes","NA","NA","NA",,,,,,,,,,"Every individual resident, who is entitled to a refund under this Part, may designate that any part of that refund be paid over to any specified political party, as defined in Title 21-A, section 1. Every individual resident, who is entitled to no refund under this Part, may contribute to any specified political party, as defined in Title 21-A, section 1, by including with that resident's return sufficient funds to make the contribution.",,
"ME1998","ME",1998,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,,,,,,,,,,,,,,"Yes","NA","NA","NA",,"ME",,,,,,,,"Every individual resident, who is entitled to a refund under this Part, may designate that any part of that refund be paid over to any specified political party, as defined in Title 21-A, section 1. Every individual resident, who is entitled to no refund under this Part, may contribute to any specified political party, as defined in Title 21-A, section 1, by including with that resident's return sufficient funds to make the contribution.",,
"ME2000","ME",2000,"21-A M.R.S. § 1123, 21-A M.R.S. § 1125","Yes","Full Public Financing","Verified registered voters of this State must support the candidacy by providing a qualifying contribution to that candidate.","50 registered voters in the electoral division providing $500.
     50 verified registered voters from the candidate's electoral division
     must support the candidacy by providing a qualifying contribution to
     that candidate.","Yes","revenues distributed to the candidate from the fund.","No",,"Yes","When any campaign, finance or election report shows that the sum of a candidate's expenditures or obligations, or funds raised or borrowed, whichever is greater, alone or in conjunction with independent expenditures reported under section 1019, exceeds the distribution amount under subsection 8, the commission shall issue immediately to any opposing Maine Clean Election Act candidate an additional amount equivalent to the reported excess. Matching funds are limited to 2 times the amount originally distributed under subsection 8, paragraph A or C, whichever is applicable.",,"No","No","Yes","Full Public Financing","Verified registered voters of this State must support the candidacy by providing a qualifying contribution to that candidate.","150 registered voters in the electoral division providing $1500 .","Yes","revenues distributed to the candidate from the fund.","No",,"Yes","When any campaign, finance or election report shows that the sum of a candidate's expenditures or obligations, or funds raised or borrowed, whichever is greater, alone or in conjunction with independent expenditures reported under section 1019, exceeds the distribution amount under subsection 8, the commission shall issue immediately to any opposing Maine Clean Election Act candidate an additional amount equivalent to the reported excess. Matching funds are limited to 2 times the amount originally distributed under subsection 8, paragraph A or C, whichever is applicable.",,"No","No","Yes","Full Public Financing","Verified registered voters of this State must support the candidacy by providing a qualifying contribution to that candidate.","2,500 registered state  voters provide a qualifying contribution .","Yes","50000","No",,"Yes","When any campaign, finance or election report shows that the sum of a candidate's expenditures or obligations, or funds raised or borrowed, whichever is greater, alone or in conjunction with independent expenditures reported under section 1019, exceeds the distribution amount under subsection 8, the commission shall issue immediately to any opposing Maine Clean Election Act candidate an additional amount equivalent to the reported excess. Matching funds are limited to 2 times the amount originally distributed under subsection 8, paragraph A or C, whichever is applicable.",,"No","No",,,,,,,,,,,,,,"Yes","NA","NA","NA",,,,,,,,,,"Every individual resident, who is entitled to a refund under this Part, may designate that any part of that refund be paid over to any specified political party, as defined in Title 21-A, section 1. Every individual resident, who is entitled to no refund under this Part, may contribute to any specified political party, as defined in Title 21-A, section 1, by including with that resident's return sufficient funds to make the contribution.",,
"ME2002","ME",2002,"21-A M.R.S. § 1123, 21-A M.R.S. § 1125","Yes","Full Public Financing","Verified registered voters of this State must support the candidacy by providing a qualifying contribution to that candidate.","50 registered voters in the electoral division providing qualifying contribution .
     50 verified registered voters from the candidate's electoral division
     must support the candidacy by providing a qualifying contribution to
     that candidate.","Yes","500","No",,"Yes","When any campaign, finance or election report shows that the sum of a candidate's expenditures or obligations, or funds raised or borrowed, whichever is greater, alone or in conjunction with independent expenditures reported under section 1019, exceeds the distribution amount under subsection 8, the commission shall issue immediately to any opposing Maine Clean Election Act candidate an additional amount equivalent to the reported excess. Matching funds are limited to 2 times the amount originally distributed under subsection 8, paragraph A or C, whichever is applicable.",,"No","No","Yes","Full Public Financing","Verified registered voters of this State must support the candidacy by providing a qualifying contribution to that candidate.","150 registered voters in the electoral division providing a qualifying contribution.","Yes","1500","No",,"Yes","When any campaign, finance or election report shows that the sum of a candidate's expenditures or obligations, or funds raised or borrowed, whichever is greater, alone or in conjunction with independent expenditures reported under section 1019, exceeds the distribution amount under subsection 8, the commission shall issue immediately to any opposing Maine Clean Election Act candidate an additional amount equivalent to the reported excess. Matching funds are limited to 2 times the amount originally distributed under subsection 8, paragraph A or C, whichever is applicable.",,"No","No","Yes","Full Public Financing","Verified registered voters of this State must support the candidacy by providing a qualifying contribution to that candidate.","2,500 registered state voters provide a qualifying contribution.","Yes","50000","No",,"Yes","When any campaign, finance or election report shows that the sum of a candidate's expenditures or obligations, or funds raised or borrowed, whichever is greater, alone or in conjunction with independent expenditures reported under section 1019, exceeds the distribution amount under subsection 8, the commission shall issue immediately to any opposing Maine Clean Election Act candidate an additional amount equivalent to the reported excess. Matching funds are limited to 2 times the amount originally distributed under subsection 8, paragraph A or C, whichever is applicable.",,"No","No",,,,,,,,,,,,,,"Yes","NA","NA","NA",,"ME",,,,,,,,,,
"ME2014","ME",2014,"21-A M.R.S. § 1123, 21-A M.R.S. § 1125","Yes","Full Public Financing","Verified registered voters of this State must support the candidacy by providing a qualifying contribution to that candidate.","60 registered voters in the electoral division provide a qualifying contribution.
     50 verified registered voters from the candidate's electoral division
     must support the candidacy by providing a qualifying contribution to
     that candidate.","Yes","500","No",,"No",,,"No","No","Yes","Full Public Financing","Verified registered voters of this State must support the candidacy by providing a qualifying contribution to that candidate.","175 registered voters in the electoral division provide a qualifying contribution .","Yes","1500","No",,"No",,,"No","No","Yes","Full Public Financing","Verified registered voters of this State must support the candidacy by providing a qualifying contribution to that candidate.","3,250 registered state voters provide a qualifying contribution .","Yes","200,000","No",,"Yes","When any campaign, finance or election report shows that the sum of a candidate's expenditures or obligations, or funds raised or borrowed, whichever is greater, alone or in conjunction with independent expenditures reported under section 1019, exceeds the distribution amount under subsection 8, the commission shall issue immediately to any opposing Maine Clean Election Act candidate an additional amount equivalent to the reported excess. Matching funds are limited to 2 times the amount originally distributed under subsection 8, paragraph A or C, whichever is applicable.",,"No","No",,,,,,,,,,,,,,"Yes","NA","NA","NA",,"ME",,,,,,,,,,
"ME2008","ME",2008,"21-A M.R.S. § 1123, 21-A M.R.S. § 1125","Yes","Full Public Financing","Verified registered voters of this State must support the candidacy by providing a qualifying contribution to that candidate.","50 registered voters in the electoral division providing qualifying contribution .
     50 verified registered voters from the candidate's electoral division
     must support the candidacy by providing a qualifying contribution to
     that candidate.","Yes","500","No",,"Yes","When any campaign, finance or election report shows that the sum of a candidate's expenditures or obligations, or funds raised or borrowed, whichever is greater, alone or in conjunction with independent expenditures reported under section 1019, exceeds the distribution amount under subsection 8, the commission shall issue immediately to any opposing Maine Clean Election Act candidate an additional amount equivalent to the reported excess. Matching funds are limited to 2 times the amount originally distributed under subsection 8, paragraph A or C, whichever is applicable.",,"No","No","Yes","Full Public Financing","Verified registered voters of this State must support the candidacy by providing a qualifying contribution to that candidate.","150 registered voters in the electoral division providing a qualifying contribution.","Yes","1500","No",,"Yes","When any campaign, finance or election report shows that the sum of a candidate's expenditures or obligations, or funds raised or borrowed, whichever is greater, alone or in conjunction with independent expenditures reported under section 1019, exceeds the distribution amount under subsection 8, the commission shall issue immediately to any opposing Maine Clean Election Act candidate an additional amount equivalent to the reported excess. Matching funds are limited to 2 times the amount originally distributed under subsection 8, paragraph A or C, whichever is applicable.",,"No","No","Yes","Full Public Financing","Verified registered voters of this State must support the candidacy by providing a qualifying contribution to that candidate.","2,500 registered state voters provide a qualifying contribution.","Yes","5000","No",,"Yes","When any campaign, finance or election report shows that the sum of a candidate's expenditures or obligations, or funds raised or borrowed, whichever is greater, alone or in conjunction with independent expenditures reported under section 1019, exceeds the distribution amount under subsection 8, the commission shall issue immediately to any opposing Maine Clean Election Act candidate an additional amount equivalent to the reported excess. Matching funds are limited to 2 times the amount originally distributed under subsection 8, paragraph A or C, whichever is applicable.",,"No","No",,,,,,,,,,,,,,"Yes","NA","NA","NA",,"ME",,,,,,,,,,
"OH1996","OH",1996,"1987 H 512 (Ohio Code 3517.17)","No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,,,,,,,,,,,,,,"Yes","Only major political parties","Each quarter year, divided equally among all qualified political parties.  Half to parties, and half to the counties in accordance with the ratio that the number of check offs in each county bears to the total number of check offs.","no limit",,,,,,,,,,"All moneys received as a result of individuals exercising the checkoff option on their state income tax returns provided for in section 5747.081 [5747.08.1] of the Revised Code shall be deposited in this fund. The tax commissioner shall pay money from the fund only to political parties qualifying for it under division (B) of section 3517.17 of the Revised Code.",,
"OH2008","OH",2008,"1987 H 512 (Ohio Code 3517.17)","No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,,,,,,,,,,,,,,"Yes","Only major political partie","Each quarter year, divided equally among all qualified political parties.  Half to parties, and half to the counties in accordance with the ratio that the number of check offs in each county bears to the total number of check offs.","no limit",,,,,,,,,,"All moneys received as a result of individuals exercising the checkoff option on their state income tax returns provided for in section 5747.081 [5747.08.1] of the Revised Code shall be deposited in this fund. The tax commissioner shall pay money from the fund only to political parties qualifying for it under division (B) of section 3517.17 of the Revised Code.",,
"OH1998","OH",1998,"1987 H 512 (Ohio Code 3517.17)","No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,,,,,,,,,,,,,,"Yes","Only major political partie","Each quarter year, divided equally among all qualified political parties.  Half to parties, and half to the counties in accordance with the ratio that the number of check offs in each county bears to the total number of check offs.","no limit",,,,,,,,,,"All moneys received as a result of individuals exercising the checkoff option on their state income tax returns provided for in section 5747.081 [5747.08.1] of the Revised Code shall be deposited in this fund. The tax commissioner shall pay money from the fund only to political parties qualifying for it under division (B) of section 3517.17 of the Revised Code.",,
"OH2000","OH",2000,"1987 H 512 (Ohio Code 3517.17)","No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,,,,,,,,,,,,,,"Yes","Only major political partie","Each quarter year, divided equally among all qualified political parties.  Half to parties, and half to the counties in accordance with the ratio that the number of check offs in each county bears to the total number of check offs.","no limit",,,,,,,,,,"All moneys received as a result of individuals exercising the checkoff option on their state income tax returns provided for in section 5747.081 [5747.08.1] of the Revised Code shall be deposited in this fund. The tax commissioner shall pay money from the fund only to political parties qualifying for it under division (B) of section 3517.17 of the Revised Code.",,
"OH2002","OH",2002,"1987 H 512 (Ohio Code 3517.17)","No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,,,,,,,,,,,,,,"Yes","Only major political partie","Each quarter year, divided equally among all qualified political parties.  Half to parties, and half to the counties in accordance with the ratio that the number of check offs in each county bears to the total number of check offs.","no limit",,,,,,,,,,"All moneys received as a result of individuals exercising the checkoff option on their state income tax returns provided for in section 5747.081 [5747.08.1] of the Revised Code shall be deposited in this fund. The tax commissioner shall pay money from the fund only to political parties qualifying for it under division (B) of section 3517.17 of the Revised Code.",,
"OH2006","OH",2006,"1987 H 512 (Ohio Code 3517.17)","No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,,,,,,,,,,,,,,"Yes","Only major political partie","Each quarter year, divided equally among all qualified political parties.  Half to parties, and half to the counties in accordance with the ratio that the number of check offs in each county bears to the total number of check offs.","no limit",,,,,,,,,,"All moneys received as a result of individuals exercising the checkoff option on their state income tax returns provided for in section 5747.081 [5747.08.1] of the Revised Code shall be deposited in this fund. The tax commissioner shall pay money from the fund only to political parties qualifying for it under division (B) of section 3517.17 of the Revised Code.",,
"OH2010","OH",2010,"1987 H 512 (Ohio Code 3517.17)","No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,,,,,,,,,,,,,,"Yes","Only major political partie","Each quarter year, divided equally among all qualified political parties.  Half to parties, and half to the counties in accordance with the ratio that the number of check offs in each county bears to the total number of check offs.","no limit",,,,,,,,,,"All moneys received as a result of individuals exercising the checkoff option on their state income tax returns provided for in section 5747.081 [5747.08.1] of the Revised Code shall be deposited in this fund. The tax commissioner shall pay money from the fund only to political parties qualifying for it under division (B) of section 3517.17 of the Revised Code.",,
